Cognate_ID	Achagua	Awa	Baniva	Bara	Barasana	Bari	Bora	Cabiyari	Carapana	Carijona	Catio	Chapalaachi	Chimila	Cubeo	Cuiba	Curripaco	Desano	Dimina	EmberaChami	EmberaDarien	EmberaTado	EpenaBasurudo	EpenaSaija	Giacone	Guahibo	Guambiano	Guayabero	Ika	Inga	Jitnu	Jupda	Kakua	Kamsa	Kogui	Koreguaje	Macuna	Mirana	Muinane	Nukak	Ocaina	Orejon	Paez	Piapoco	Piratapuyo	Playero	Puinave	Resigaro	Saliba	Secoya	Siona	Siriano	Tanimuca	Tariano	Tatuyo	Totoro	TsafiquiPila	Tucano	TuneboCentral	Tuyuca	Waimaja	Wanano	Wayuu	WitotoMinica	WitotoMurui	WitotoNipode	Wounaan	Yucuna	Yukpa	Yuruti
50_lake	k a l i s a			o p a t a r o	ɨ t a b ɨ k ɨ r a	b a d oː n ə	ɯ n e ɯ	k a l i t a	i t a b ɨ k i r a	iː k u t u h ɯ		p u s u		b ã k a h i t a b ɨ	p u k u a	k a l iː t a	d i t a r u	a k u d i w a	s e n e a	a m e n e	tʰ ɨ ɗ a	tʰ ɨ d a	tʰ ɨ d a	m a k a d a u a	p u k a	p i s u	p u k a	dʒ i w i	k u tʃ a	p e m a t p e p	b ɔ̃ h	ʔ ĩ b	w a b x a x o n a j e	n i w a	dʒ i a r a	i t a h u r a	ɯ n e ɯ	k aa s i	iː m b ɛ ʔ	h õ ʔ ãː h ĩ	tʃ i t a d a	ĩ kʰ	k a l i s a	d i t a r a	p u k a	w ə k	h u n e u	oː p u	h a i d a	z i t a d a	d i t a r u	p a ʔ w a	t a p u n̥ a	i t a b ɨ k i r a		p i p i l u	d i t a r a	r i ʔ w a	o p a t a r o	ɨ t a	b ɨ k ɨ p a r i r o	l aa	h o r a i	h o r a i	h o r a i	tʰ ɯ r d ʊ	k a e s a		ĩ t ã b ɨ k ɨ t a r a
51_spear	k u e l a l eː	a k s		s a g a j a	g ã h õ ã	ʔ i s tʃ u g d ə ɾ ə	aa m ɯ p a		b e s u ɨ	β e β e h o t ɯ r i	m i a s ũ	l a n s a		b e h o b o k a	k u e r a b o	m o r o k o	j õ s ẽ r i	s i n a	m i a s ũ	m i a s ũ	m i a s ũ	m i a s ũ	m i a s ũ	m o n r u k u	k u e r e r e b o		b a o i n		l a n s a	l a ts		k a h a t	l a n ts ɨ ʃ a	s ɨ z a	k ɨ n a r ɨ	r e a r e	kʰ a p o ʔʰ o kʷ a	aa m ɨ g a	ɲ u m o ʔ	o ɯ dʲ aa tʲ a	u i	w e ʔ tʰ	u l i b a n a	j õ s ẽ d i	k u e r e r e b o	j u k õ n	n oː ts i g u		w i t ɨ	w i	s aa r e r i b ã h ĩ	b e h o a		b e h u ɨ		l a n s a	j õ s ẽ r ĩ		s a d e r i p ĩ	h a d e r i k a r o	d o k a d ɨ		d u k ɯ r a θ ɯ	d u k ɯ r a θ ɯ	d u k ɯ r a dʒ o i k ɯ	tʰ u t kʰ ɪ ɾ	u ʔ u w a t i		ã s ĩ p õ ã b e s u p ĩ
52_owl	d u m u ʒ u k u	k w a m p u l		b ɨ p ɨ p a k o	b ɨ h ɨ h o g o	b o k oː m a k oː m ə	pʰ m pʰ ɯ x kʰ o p a		b ɨ p ɨ p o k o	s u k o s u k o	b õ b õ ɾ ã	tʲ u tʲ u	ʔ ɾ u kː u ʔ	p u p u r i	s i k u r u n t o	p u p u l i	b u p u p o g a b u	b ɨ n ɨ n g u	b õ b õ ɾ ã	p õ p õ r ã	b o b o ɾ ã	b u b u l ũ g a	b a ɾ i kʰ o kʰ o		p u p u l i	k u s k u n k u	tʃ a h o ʔ o w a t	b u n k w ɨ	k u s u n g u	h o r t o	p ə b ə p	p ɨ b ɨ p	k o s k u n g o	w a u h u	k u k u	b ɨ r i k a t u	pʰ eː tsʰ oː	m a r uː k u	m u n i b u	m õõ n̥ õ h õ	u g u	k u p e	t oː m o r o k o k o	ɨ p ɨ	t u m u r u k u k u t o	w u	p o p oː g i	s e tʃ u	ẽ õ p ɨ p ɨ	g u g u	b ɨ p ɨ p o g a b u	p u p e t i k a		b ɨ p ɨ p o k o	m i s a k w a i ts i	b o ŋ b o	b ɨ p ɨ	k u k t a r a	b ɨ p ɨ p a k o	b ɨ p ɨ p o k o	w ɨ p ɨ	ʃ oː tʃ i	b u r u	m o n u i θ ɯ	d u r i d a	b u k b u k	p uː p u	j a n	b ɨ p ɨ
53_tongue	iː n a n eː	j a n kʷ i x i a		j ẽ b ẽ r o	j ẽ b ẽ r õ	k o b ɨ n ə	n ɨː x ɨ kʷ a	n u n e n i	j ẽ b ẽ r õ	iː n i k o	kʰ ĩ r ã m e	i h k a	k u aa ʔ	h e b ẽ + d o	p eː b a t o	n o e n e n e	d ẽ r u	k o n g ɨ r a	kʰ ẽ r ẽ m e	kʰ ẽ r ã m e	kʰ ĩ r ã m e	kʰ ĩ r ã m e	kʰ ĩ r ã m e	u e c n e n a	p e eː b a r ɨ t o	n i l ɨ	p e h + k a tʃ i e ʔ t	k o r i ʔ g ə n ɨ	k a lʲ u	p e b r a t	n ɔ̃ h + k æ d	d ɨ̃ k	b i tʃ t a x a	h u a ŋ g ə l d ə	dʒ e m e ɲ o	j ẽ b ẽ r õ	ɨ ʔ n ɨ h ɨ kʷ a t	n e x e b a	n ɨ i k	h ĩ ɲ õõ ʔ ɸ ɯ	d ẽ b ẽ + t o j o	tʰ u n e	w a n e n e	j ẽ ʔ b ẽ d õ	p eː b o r t o	d o k	e ʔʰ eː p e	a n e n e	s e m ẽ j o	z ẽ m ẽ j õ	d ẽ ʔ d i r u	r ẽ r õ k a ʔ k a	j e m e ɸ i k i t i a l i	j ẽ b ẽ r õ	n i l ɨ	n i k a k a	j ẽ ʔ b ẽ r õ	k u w a	j ẽ b ẽ r õ	j ẽ b ẽ r o	j ã ʔ b ã d õ	w aa j eː	i ɯ ɸ e	i ɯ ɸ e	i ɯ p e	m e u kʰ ĩ i r	w a lː e n a	p o ʔ t a ʃ	j ẽ b ẽ r õ
54_puma	tʃ a w i k i ʒ i			j a i	j a i + s ũ ɨ̃		tʰ ɯː pʰ a ʔ j oː ɯ	tʃ aa w i	j a i j ũ ã ɨ̃	k ai k u tʃ i	pʰ j w i n i	lʲ u g u e l a	p aa p a k ɾ a ʔ	j a w i	n e ɨ tʰ ɨ	j a w i	ẽ ʔ õ c ã b ɨ̃	d u m a g a	o pʰ i d i		õ pʰ i ɗ i	e ɾ u s o	ɨ̃ pʰ i d i		e n i a n a l i	l i u n	tʃ ɨ a r	g w i a dʒ i n a		l i o n	d ə d + j ã ʔ ã b	h i w + d ɨ d ĩ	l e o n	n ə b z ɨ ʃ i		j a i	tʰ ɯ pʰ a i oː h i	x ɨ k u			b ã ĩ	ʃ i ʔʰ	tʃ a w i	p i s u	l e o n	j o t		ɲ a m a	m ã	m ã	ẽ õ k ã j e	j a i h ũ ʔ ã k a	j a w i		m i ʃ	l u k e l a	j a i + s õ ã g ɨ̃	k o t o kʷ a	j a i	h ũ ã g ɨ	j a i r o + s õ ʔ ã r i r o	w a s a ʃ i	h ɯ k o		h ɯ k o	e ɾ i s		s o r a	
55_full	k a ʃ i a m u i	p u n t a	ɺ i p a n a	j a p i	j a h i	ʔ i ʃ i ʔ d ə s o n ə	tsʰ a n e		j a p i k o a	t ɯ n a h o k e	b i r a	tʲ u h u a h u	k uː t i	j a p i j ɨ	w ɨ n k a	p a k a m i	ɨ h ɨ t ɨ	k u t			b i ɾ u	i p i ɾ u	i p u ɾ u	k e ts a m a n i t e	w ɨː n ɨː k a	n e ts ɨ	w ɨ l ɨ k	k o ʔ o	x u n d a	w ɨ n u k	h i t a b a j	j a w d ĩ	x u t x e n a	h i ə l d ə	dʒ a h i	d a h a	kʷ a ʔ pʰ e n e	g a tʲ uː k ɨ	h ɛ l i			u t a	n a p u n i a d eː r i	w a ʔ p a	u n u k a	h u j t u n	p o tsʰ i ʔ m o	h i ʔ ɲ a	t i m ũ j ẽ	j a h i	ɨ t ɨ r i	j ã p i r i k a	h e p u p i	h i r a	n e ts ɨ	t u w a l e	j a p i	kʷ i n̥ a k	d a d a	j a p i	j a p i	p i r a ts ɨ	o r u i d e	o r u i d e	o r u i d e	i p i ɾ	p u ʔ u t e	t u w a j e	j a p i
56_parrot	l o r a	n u t ɨ		w e k o	w e k o	ʃ ə r o k d a r ə	tʃ oː r a		w e k o	l o r o	kʰ a r e	l u r u	aa ɾ a ʔ	w e k o	o n a	w a r o	w e k o	i s a	kʰ a r e	kʰ a r e	kʰ a r e	kʰ a r e	kʰ a r e		o n o	k ɨ lʲ i k	x u ʔ	k w i r o m ɨ	u r i t u	o n	d ɔ̃ j	j ã h	ʃ a t u o	k u a k u l d u	β e kʰ o	w e k o	j oː r a	k ɨː r a b a	ʔ ɛ l ɛ ʔ	k a j oː h o	b e k o	w e l j	d u l e w a	w e k o	x u r a	s ə m	dʒ oː d u	l o l o	w e k o	w e k o	w e k o	p a k o r o k a		w e k o		w a t u	w e k o	k e ʔ r o s a	w e k o	w e k o	w a tʃ o	k a l e k a l e	u i ɯ k ɯ	θ a r o k ɯ	u i ɯ k ɯ	b a tʰ u a	p a k o r o	w a p ʃ e	w e k o
57_moon	k eː ʒ i	p a l a p tʃ a	k ɛ r i	j ã b ĩ b ã l ɨ̃	b ũ h ĩ h ũ	tʃ i b a j r ə	n ɯ ʔ p a	kʰ eː r i		n u n a	h e d e kʰ o	k e p e	m aa m a s u ʔ	a w i a	h o m o k o i tʃ a t o	k e r i	a b e	s i b i a k u k w i	h e d e kʰ o	h e ɗ e kʰ o	h e ɗ e kʰ o	h e d e kʰ o	a t a n e	k eː r i	h u a m e t o	p ɨ l	h u i m t	t i m a	k i lʲ a	h o m e t	tʃ ɨ b ɨ j	w i d ʔ	x u a ʃ k o n a	s a x a	p ã i m i a ɨ	j ã b ĩ	n ɯ ʔ p a	ɸ u kː u o	w i d ʔ	ɸ o dʲ oː m e	j ã b ĩ	a ʔ t e	k eː r i	a s ɨ̃	h u a m e t o	h ə b ə t	k eː g i	b e h o	j ã j ɨ̃	j ã j ã g ɨ	a b e	a i j a j ã b ĩ k a ʔ k i	k e r i		p ɨ l	p e	b ũ h ĩ p ũ	s i ʔ j o r a	j ã b ĩ b ã k ɨ̃	j ã b ĩ	s ɨ̃	k a ʃ i	ɸ ɯ u i	ɸ ɯ β u i	p ɯ b ɯ i	e d a u	k eː r i	k u n u	j ã b ĩ b ã k ɨ̃
58_hand	k aa h i	tʃ t ɨ	k aa p i	ã b õ	ã b õ	ʔ a x d u r ə	m e ʔ o x tsʰ ɨː	n u k aa p i	w ã b õ	eː nʲ a r i	h u w a	tʲ aa p a	h a tː a k ɾ a ʔ	p ɨ r ɨ	p e k o b e	n o k a p i	b õ h õ t õõ	g u l a	h u a	h ɨ w a	h u a	h u a	h u a	u a k a p i m a	p e k o b eː	t a s i k	p e h	g u nː ɨ	m a k i	p e k o	d e p ũ j	t e j ʔ j a	k u k u a t ɕ e	k a u x ə l d ə	h ɨ̃ tʰ ɨ	ã b õ	i ʔ o h tsʰ ɨː	u s e	t e i ʔ	o n̥ õõ p o	h ɨ̃ t ɨ	k u s e	w a k aa p i	õ b õ k ã	p e k o b e	m o + l a p	k e		h ɨ̃ t ɨ	ɨ̃ t ɨ + s a d a	b õ h õ	p i t a k a	p a s e w a	w ã b õ	k w a l	t e d e	õ b õ k ã	a t k a r a	w ã b õ p ã b ã	ã b õ	w ã b õ + b ã k ã	w a h a p ɨ	o n o ɯ	o n o ɯ	o n o ɯ	h u a	w a j a t e ʔ e l a	o m a	w ã b õ
59_anacondawaterboa				p ĩ d õ	h ĩ d õ		iː kʷ a kʲʰ o		p ĩ d õ	ʔ a k a i m a	h ẽ pʰ ã	v e s u		ã ĩ k ɨ	h o m o w a b i	o m a w a l i	p ĩ r ũ	m ɨ n t a	h e pʰ ã	h e pʰ ã	h e pʰ a	h ẽ pʰ a	h e pʰ ã	m aa u a l i	h o m o w aː b i		h o m b o i	m a k u k u		h o m o e j	b æ̃ h	b ã j	a m a r o n	k a m a w a l d i	o kʰ o	h ĩ d õ	tʰ eː tʰ e h ɨ	b uː a	m ɨ h b uː l i	t o x oː ʔ j o			m aa n u	p ĩ d õ d õ	h o m o w a b i	p ĩ n		d o p a	m ã j õ m ĩ	ã j ã	p ĩ r ũ	ã j ã p a k i a k a		p ĩ d õ			p ĩ r õ		p ĩ d õ	p ĩ d õ	p ĩ d õ d õ	s a r u l u	n u i o	n u i o	n u i o	h ɪ	p i j u t e	s a m a m u	p ĩ d õ
5_banisterium				k a p i	k a h i		n e p a x kʰ e		k a p i	j a h e	kʰ i d u a	p i n d e		b ĩ h ĩ	x u i p a		g a p i					d a p a	d a pʰ a		x u i p a		t u i p		a m b i	t u i p a	k a ʔ p i h	k a p i	b i a x i j e		dʒ a h e	k a h i	n e p a h kʰ e	b a k o t a m ɨ		õ n̥ ãː ʔ õ	j a h e			k a p i	x u i p a		h u l oː b a ʔ ʒ o ʔ		j a h e	j a h e	g a p i	k a p i a		k a p i		n e p i	k a p i		k a p i	k a p i	kʰ a p i		u n a o	u n a o	u n a o	d a p kʰ t ɾ			k aa p i
60_husband	iː n i ʒ i	a p	h ũ a	b ã d ɨ̃	b ã d ã h + ĩ	t a j g d a n ə	tʰ a x ɨ		b ã d ã p ɨ	ʔ iː nʲ o	kʰ i m a	j a ʔ	n a s aa w i ɾ i	b ã i r ẽ p a k ɨ	p i s e u r i	r u i n i r i	b ã r ã p ɨ	r a n + s e w a	kʰ i m a	kʰ i m a	kʰ i m a	kʰ i m a	kʰ i m a	iː ts a n i r i	p a m o n a	k e k	p a m a l	n ə tʃ ei r w a	k u s a	p e b a r k u i	t æ̃ h + ʔ i p	w ã h e ʔ + b o	b o j a	n a h i	ɨ̃ h ɨː	b ã d ɨ̃ h ɨ̃	tʰ a h ɨ	t a x e	h ĩ ʔ b u	õõ n a	ʔ ĩ ɨ h ĩ ɨ ʔ	n m i ʔ	u n i r i	b ã d ɨ̃ d õ	ɸ i a p e b i n ɨ	m o + b o n	dʒ iː g i	h e m i	p a k ɨ	ɨ̃ h ɨ̃	b ã r ã i p ɨ	t i b ĩ		b ã d ã p ɨ	k e k	u n i l a	b ã r ã p ɨ	r aa	b ã d ĩ ɨ	b ã i d ĩ ɨ	b ã d ɨ̃ d õ	ʃ i e tʃ i n	ɯ i n i	ɯ n i	ɯ i n i	h aa i	r u j a x n a	a w o r ɨ	b ã i d ɨ̃ː
61_spidermonkey				w a u	w a u	ʃ u g ʃ a n ə	kʰ ɯː m ɯ		w a u		j e r e	h u a ʃ u	k a r a m oː n i j u	w a o		k u a t a	w a ʔ u	m a r i m o n d a	j e r e	j a r e	j e r e	j e r e	j e r e		k u w a i r i		tʃ o k a				b u i d			m i k u	β a ʔ o	w a u	kʷ aa h iː	x ɨ b iː dʒ a x e		oː r ɯ				w a ʔ u					w a ʔ o	w a ʔ o	w a u	w a ʔ u a		w a u		w e l e	w a ʔ u	s i t r a m a	w a u	w a u	w a ʔ u	m a r i m o n t a	n e h o m a	g u a m ɯ	m eː k j	p oː ɾ	k u x w e t o	p o r o t o	w a u
62_cornmaize	k aa n a	p i a		o d i k a	o h o r i k a	ʔ i ɾ o k b ə r ə	ɯ x ɨ	k a h n a	o r i k a	a n a tʃ i	b e	p i ʃ u	a kː u a	w e a	h e ts a	k a n a	o h o d ɨ k a	i ɨ m	b e	p e	b e	p e t a u	p e	k a n a	h e ts a	p u r a	h e s	i n	s a r a	h e ts a		h o	m a ts e	e b i	β e a	o h o r i k a	ɯ h ɨ ʔ o	b e dʒ a	w e a ʔ	x o ɸ iː r o	b e a	k u tʲʰ	k a n a i	j oː	h e ts a	k a n	β eː k a ʔ o	dʒ o m o	w e a	w e a	o h o d ɨ k a	o a k a	k aa n a l i	o r i k a	p u r a	p i j o	o h o k a	e b a	h o r i k a	o d i k a	j o	w aa n a	b e dʒ a	b e dʒ a	b e dʒ a	p ɪ d a u	k a x n e	m e ʔ	o r i k a
63_howlermonkey		t i x u n		ẽ b õ	u g ɨ	k a m i n ə	n a m e		u k ɨ		z r ɨ̃ a	h u j u ŋ g u	m o l a kː u	ẽ b ũ	n ɨ h ɨ	i ʃ i	ũ ʔ g ɨ̃	m i k u	tʃ ũ ɾ ũ a		tʃ ũ a		tʃ ũ a		n ɨ h ɨ		ʔ a r o w a t				k o g	j o g o		m u n u	e m u	u g ɨ	n a m e	i j u	m ɨ̃ ʔ a				iː s i	ẽ b õ	n ɨ h ɨ	k a	oː β u	dʒ u p e	ẽ m õ	ẽ m ũ	o ʔ g ɨ	i h i a		u k ɨ		h u r u n k u	ẽ b õ	b i b a r a	ẽ b õ	e b õ ã b ɨ̃	ẽ b ũ	a l a ʔ a l a	i u	i u	i u	k o t u d	h i m u ʔ u	a r e ʃ a w o	e b õ ã b ɨ k ɨ
64_mountain	a w a k a	ɨ n k a l		ɨ̃ ã g ɨ̃	g ɨ̃ t ã ɨ̃	dʲ ɨː r ə d ə	kʰ a m e ʔ p a ɯ		ɨ̃ t ã ɨ̃	i t u	kʰ a tʰ u m a	lʲ u b a b a	i tː i k o ŋ g r a ʔ	k ɨ̃ r ã k ũ	d e m x u w a	h i p a n a	ɨ̃ t ã g ɨ̃	k ɨ n k ɨ n a						i j a p a	i b o ts u: t o	n u	ʔ i a b o t	g w i r k ə n ɨ	a w a	ts e r i t	h i h	h e	t x a ɲ e	g u i n u e	a i kʰ ũ tʰ i	g ɨ̃ t ã g ɨ̃	kʰ aa m e ʔ p a ɯ	g a x ɨ	h eː			β i ts	m a n u i r i	k ɨ̃ d ɨ̃		w e n		i n a k o ʔ o	h a i		b u ʔ u r u	p u s i a		ɨ̃ t ã ɨ̃		d u	ɨ̃ r ɨ̃ g ĩ ɨ	c u b a r a	ɨ̃ t ã g ɨ̃	ɨ̃ t ã	t ɨ̃ k ɨ̃	uː tʃ i	i ɸ e r ɯ	a n e d u	k a i p o n e d u	d u r s ĩ	i p u r e	t o k o r e	b uː r o
65_bush		s u m		b ã k ã d ɨ̃ k ɨ̃	b ã k ã r õ k ã		p a x ɯː	ʃ iː k a u k a	b ã k ã d ɨ̃ k ɨ̃	i t u	m e a	h e l e	k a n t a w a ʔ	b ã k a r õ	u n u	a w a k a d a	d ɨ̃ g ɨ̃	k ɨ n k ɨ n a	m e a	m e a	m e a	m e a	o i	a h i k u n a	u n u	ts i p	ʔ u l	k ə n k ə n ɨ	s a tʃ u k u	u n	tʃ u g	h i a	t x a ɲ e	t a ʃ i m a	a i r o	h o a	p a h ɯː	b a x ɨ	w ã ʔ w ã	tʲ a m̥ ãː ʔ ĩ	b ã k a	j u ʔ kʰ	a n a l i m a	b ã k ã r o k a	u n u	h u k l e	t e b a h u	ɾ ã p o h e	a i d o	a i d u	b ã k ã d ɨ̃ g ɨ̃	b ã k a k a	k a i p u n i p e	b ã k ã r o k a	k a o	h e l e n	d ɨ̃ k ɨ̃	b o w a r a	b ã k ã d ɨ̃ k ɨ̃	b ã k ã d ɨ̃ k ɨ̃	b ã k ã d ɨ k a	u n a ʔ a p ɨ	t a ɯ r e	h a θ i k ɯ	d a ɯ r e	oː i tʃ aa ɾ	e h a ʔ a w a	a m u	b ã k ã r ɨ̃ k ɨ̃
66_die	m aa n a l i j iː	i nː a	dz a m i k a	d i a j a i	r i h aa	ʃ i d ɨ r i k b a j k a j n ə	ts ɨ x ɨ β e		r i a k o a	j a h e j a e	b e u	p e n u	j uː t a	j a i j ɨ	t ɨ p a	m a j a m i	s ĩ r ĩ	w i z i	b i u	p e u	b i u	p i u	h a i ʔ i d a	n o h a	t ɨː p a	k w a p	t ɨ p	w i tʃ ə n	w a ɲ u j	t ɨ p	d ã ʔ ã j	w ɨ̃ d	x o b a n a n a	ʃ u i ʃ ĩ	h ũ ʔ i	g o d a	ts ɨ h ɨ β e	tʃ oː m o b o	b ɨː d n	ɯ r a	h ũ d ĩ	uː	w eː t a k a w a	j a r i a	t ɨ p a	ɨ j	k a i n eː	a ɲ a g a m a h a ʔ a	h ũ ʔ ĩ j ẽ	h ũ ʔ ĩ h i	b o a	r e j a r i k a		r i a	k w a p	p i j a	w ẽ r ĩ	ʃ i n i n r o	d i a h õ ã	j a i	j a r i a	o ʔ u t aa	t ɯ i d e	ɸ i o d a i t e	ɗ ɯ i d e	m eː	t a k a ʔ a k a h e	e k a	d i a
67_nose	d a k u	k i m p u h	t a k u	ĩ k ĩ ã	ĩ g ẽ ã	n i s ɨ r ə	tʰ ɯ x ɯ ʔ o	h i t j a kʰ u	ĩ k ẽ ã	oː n a r i	kʰ ẽ b ɨ	k i h k a p a	ⁿd a	ũ ẽ k a	p e p o x o n t o	n o t a k o	ĩ g ĩ r ũ	m ĩ ʃ u a	kʰ ũ	kʰ ẽ b ɨ	kʰ ũ	kʰ ũ	kʰ ɨ̃	u a t a k u	p e p u m u:	k i m ts i k	p e h + ɸ u m u	m i s u ŋ ɨ	s i n g a	p e p u m	tʃ ũ k ũ j	w ɨ k	ts x a ɕ e	h u n u kː ə l d ə	ɨ̃ k e p ɨ	ĩ g ẽ ã	i tʲʰ ɯ h ɯ ʔ o	t ɨ x ɨ ʔ u	w ɨː k	tʲ oː ɸ o	ũ k u e b ɨ	ĩ ts	w a i d a k u	e ʔ k ẽ ã	p e p u m u	h ə k	h i t a k o	ĩ x u	õ kʷ e p ɨ	ũ kʷ e b ɨ	ĩː g ĩ ʔ r ũ	õ b ẽ ã	p i β i t a	ĩ k ẽ ã	k i m	k i n f u	ẽ ʔ k ẽ ã	r e ʃ a	ẽ k ẽ ã	ĩ k ĩ ã	k ẽ d õ	w e ʔ i tʃ i + w a e ʔ i tʃ i	d o ɸ o	d o ɸ o	d o p o	kʰ ẽ u	w a t a k u	o n a	ĩ k ĩ ãː
68_chiggoejiggerflea		tʃ i n tʃ i		d ũ p ũ h ũ	g ũ b ũ s ũ		n iː pʰ a x ɨ		d ũ p ũ h ũː	tʃ i k ɯ	b o dʒ ĩ t a			k u b u h u k ɨ	a r a k a t o	iː t i t o	g u b u s ũ	m ɨ t i g ɨ r a			s ĩ d a	s ĩ t a	s ĩ t a	iː s i t u	ts u h u i t o	p u l	tʃ o ʔʰ o e n t	n i g w a	p i k i	n i w a t	d ã d	d o ʔ d o ʔ	ts ɨ t x o n a	k ə l s i g ə l d ə	s u ʔ u	g ɨ b o	n iː pʰ a kʷ a	n iː ɸ a x e	t ã ŋ ã p	o r oː tʲ o	p i	k i m a	i s i d u	d a ʔ p u s ũ	n i g u a	d ã n	i tsʰ iː t o	n i g u a		s u ʔ u	g u b u ʔ s ũ	h ũ ʔ ũ ã		d ũ p ũ h ũː	i s i m p i ɕ u k		d u ʔ p u s ũ	r e n kʷ a	d u p u s ũ	d ũ p ũ h ũ	d a ʔ p u s u		o r o k o ŋ o	i o dʒ a ɯ ɲ o	i o dʒ o ŋ o	pʰ ĩ n	i h i t u		d ũ p ũ s ũː
69_night		a m d a	d e p i	j ã b ĩ	j ã b ĩ	b a j g d a n i n ə	pʰ e x kʰ o	n i a p i ŋ aa pʰ i	j ã b ĩ	k o k o n e ʃ i	d i a m a s e	k e p e	s i h n a k a	j ã b ĩ	m e d i w i	d eː p i	j ã b ĩ	ʃ e	ẽ s ã b u d e	d i m a s i	ɗ ĩ i s i	t iː s i	pʰ ã ɾ ĩ kʰ u a		m e r a w i	j e m	m a d o i	s ei a ʔ	t u t a	m e r i o	tʃ ə b	tʃ e j	i b e t a	s e s ɨ ŋ	ɲ a m i	j ã b ĩ	pʰ e h kʰ o	ɸ u k u	tʃ e i	n a tʲ õ	j ã b ĩ	k u s	k a t aa	j ã b ĩ	m e r e w i	s a j	n aa p i		j ã m ĩ	j ã m ĩ	j ã b ĩ	j ã b ĩ	d i tʃ i w a p a	j ã b ĩ	j e m	k e p e n	j ã b ĩ	ʃ e k a r a	j ã b ĩ	j ã b ĩ	j ã b ĩ	a i pː a ʔ a	n a ɯ o	n a ɯ o	n a ɯː o	e d aa ɾ	l aa p i	k o ʔ k o	j ã b ĩ
6_chilipepper	i j a l i a	tʃ w i l		b i a	b i a	ʔ n o ɾ i r ə	t ɨː		b i a	h ɯ m a i	pʰ i d a	tʲ u	ⁿd j oː ʔ	b i a	n o n e i	a t i	b i a	n e w a	pʰ i ɾ ã	pʰ i ɗ a	pʰ i ɗ a	pʰ i d a	pʰ i d a	aa ts i	n o n o h iː t o	k ɨ r ɨ	n o l t	n ei w ɨ	u tʃ u	n o h n i h a	k a w	k ã w	ts ɨ t ɕ a	m u g u a	p i a	b i a	t ɨː ʔ o ɯ	d eː ʔ u ɨ	b i a ʔ	h a ʔ ɸ iː ʔ o β ɯ	b i a	ã w ã	aa s i	b i a	p e a tʰ i tʰ i b ɨ	k o k	aa tsʰ i u		p i a	b i a	b i a	b i a		b i a	k ɨ r ɨ	t u n	b i a	r e o w a	b i a	b i a	b i a	h a ʃ i	h i ɸ i h ɯ	h i ɸ i h ɯ	h i p i h ɯ	h ʊ tʃ ʊ g	a ʔ a h i	k a k a	b i a
70_name		m u n		w ã b ẽ	w ã b ẽ	ʔ aa ɾ ə	m e m e		w ã b ẽ	e j e s e t ɯ	tʰ ɾ ɨ̃	m u m u	k a k e w a ʔ	ã b ĩ ã	p e w ɨ n	p eː p i t a n a	w ã ĩ	ʒ a g i n u kː a	tʰ ɾ ɨ̃	tʰ ɾ ɨ̃	tʰ ɨ̃	tʰ ɨ̃	tʰ ɨ̃	p i p i t a n a	p e w ɨ n ɨ	m u n tʃ i	p e h	z a ʔ k i	s u t i	w ɨ n		w ɨ̃ t	w a b a i n a	a x a ʒ u kː a	m a m i	w ã b ẽ	m e m e	m o m o	n ã u ʔ w a h a t	m aa m̥ ɯ	b ã b ĩ	j a s e	w a i p i d e n a	w ã b ẽ	ɸ i a w ɨ n ɨ	t ã m	iː β u		m ã m ĩ	m ã m ĩ	w ã ĩ	w ã b ẽ ã		w ã b ẽ	m ɨ i ʃ	m u m u n	w ã b ẽ	a h k a	w ã b ẽ	w ã b ẽ	w ã b ã	s ɨ n ɨ l i a	m a m e k ɯ	m a m e k ɯ	m a m e k ɯ	tʰ ɯ̃ ɾ	iː h i	j o s e	w ã b ẽ
71_new	w aa l iː	m a s a s	w a ɺ i t ɛ	w ã b ã	b ã b ã	b a tʃ i n i n ə	p e ʔ n e	w a l i t e k a	k a w ã b ã	k a i n a n o	dʒ i w i d i	k a s a	t a kː e ʔ	b ã b ã r õ	p e n a w a	w a l i d a l i	b ã b ã	a m b ɨ s i	tʃ i	tʃ i w i ɗ i	tʃ i w i ɗ i	tʃ i w i d i	tʃ i w i d i	u a l i k i r i	p eː h a n a	ɕ ɨ	p a h e l a x	a b i tː i	m u s u	p e h e n a	d ə ʔ w ə j	h a p	ts ɨ m	a b i s ə	m a m a	b ã b ã	p e ʔ n e	b u	k o b m	h ɯ ʔ t o	b ã b ã	u ʔ s e	w a l i s a i	w ã ʔ b ã	p e h e n a w a	h u h u	b e ʔ e		w a h ɨ k o	m ã m e	b ã b ã	b ã b ã k a	w a l i k i d o a n̥ a	k a w a b ã	ɕ ɨ i k	k a s a n	b ã ʔ b ã	i b s o j a	b ã b ã	w ã b ã r o	w ã ʔ b ã	h e k e t	k o m u e	k o m u e	k o m u e	tʃ i	w aa h e	k u ʃ p a	b ã b ã
