Cognate_ID,aromanian,barbaniapiemontese,bellunesevenetian,campidanese,carmagnolapiemontese,carpigianoemiliano,castellodelaplanacatalan,castilianspanish,cataniansicilian,centralcatalan,dalmatian,fassanoladin,ferrareseemiliano,friulian,gardeneseladin,genoeseligurian,grossetoitalian,istroromanian,lanzotorinesepiemontese,logudorese,manisescatalan,meglenoromanian,messinesesicilian,minorcancatalan,neapolitan,northwesterncatalan,palermitansicilian,primierovenetian,provencaloccitan,rapalloligurian,ravennateromagnol,reggianoemiliano,romanian,rumantschgrischun,southeasternsicilian,standarditalian,stellaligurian,surmiranromansh,sursilvanromansh,valenciancatalan,valladerromansh,venicevenetian,vercellesepiemontese
79_stand,ʃ ˈe d + u + m + p r ˈo s t + u,s t + ˈe + ˈɛ n + p ˈe,s t + ˈa + r + i ŋ + p ˈie,a b a rː + ˈa j + i + β ˈe j,s t + ˈe + d r i t,s t + ˈɛː r + i n + p ˈeː,e s t + ˈa + ɾ + d e + p ˈɛ w,e s t + ˈa + ɾ + d e + p ˈj e,s t + ˈa + ɾ i + a + dː ˈi tː a,ə s t + ˈa + ð ɾ ˈɛ t,s t w o r + i ŋ + p ˈi n s,ʃ t + ˈɛ r + e n + p ˈe,s t + ˈa r + i n + p j ˈe,s t aː + i m + p ˈi n s,ʃ t + ˈɛ + m p ˈe,s t + ˈaː + i ŋ + p ˈeː,s t + ˈa r e + i n + p ˈj ˈɛ d + i,s t ɒ,s t + ˈe + d r i t,i s t + ˈa + r e + a + s a + r ˈi tːs + a,e s t + ˈa + ɾ + ð ɾ ˈɛ t,s t a + w,s t + ˈa + ɾ ɨ + a + ɖː ɽ ˈi tː a,ə s t + ˈa + ð ɾ ˈɛ t,s t + ˈa + a lː ˈj e r t + ə,a s t + ˈa + ð ɾ ˈɛ t,s t + ˈa + ɾ i + a + ɡ ɾ ˈi tː a,s t + ˈa + r + i ŋ + p ˈɛ,ˈɛ s t + ɾ e + d ɾ ˈe,s t + ˈa + i ŋ + p ˈe,,s t + ˈɛː r + i n + p ˈe + e,a + s t ˈa + ɨ n + p i tʃ ˈo v a r + e,ʃ t + a r,s t + ˈa + ɾ i + a + d ˈi tː a,s t + ˈa + r e + i n + p ˈj ˈɛ d + i,ʃ t + ˈe + i m + p ˈe,ʃ t + a r,ʃ t + a r,e s t + ˈa ɾ + d e + p ˈɛ w,ʃ t + a r,s t + ˈa + r + i ŋ + p ˈie,s t + ˈɛ + ŋ + p ˈeː
7_bite,m ˈɨ ʃ k + u,m ˈɔ r d + e,m ˈɔ r ð + a + r,m u sː j + ˈa j,m ˈɔ r d + e,m u z ɡ + ˈɛː r,m o s e ɣ + ˈa + ɾ,m o ɾ ð + ˈe + ɾ,m u tːs i k + ˈa + ɾ i,m u s ə ɣ + ˈa,m o r s k + ˈw o r,m ˈo r d + e r,z ɡ a ɲ + ˈa r,m ˈw a r d + i,m ˈɔ r d + ə r,m ɔː r d + e,m o r s + i k + ˈa + r e,m u tʃ k + ˈɒ,m ˈɔ r d + i,m o sː i ɡ + ˈa + r e,m o s e ɣ + ˈa + ɾ,m ˈu tʃ k + u,m u tːs ɨ k + ˈa + ɾ ɨ,m u s ə ɣ + ˈa,m u tːs ə k + ˈa,m o s e ɣ + ˈa,m u tːs i k + ˈa + ɾ i,m ˈɔ r ð + e + r,m ˈɔ ɾ d + ɾ e,m ˈɔ r d + e,m u r s + ˈe a,m u z ɡ + ˈɛː r,a + m u ʃ k + ˈa,m ˈɔ r d + ə r,m u tːs i k + ˈa + ɾ i,m ˈɔ r d + e + r e,m ˈɔː r d + e,m ˈɔ r d + ə r,m ˈɔ r d + ə r,m o s e ɣ + ˈa + ɾ,m ˈɔ r d + ə r,m o r s e ɡ + ˈa + r,m ˈɔː r d + i
80_star,s t ˈe̯a + o,s t ˈɛ j l + a,s t ˈe l + a,s t ˈɛ dː + a,s t ˈɛ j l + a,s t ˈɛ l + a,e s t ɾ ˈe ʎ + a,e s t ɾ ˈe ʎ + a,s t ˈi ɖː + a,ə s t ɾ ˈe ʎ + ə,s t ˈa lː + a,ʃ t ˈe j l + a,s t ˈɛ l + a,s t ˈɛ l + e,ʃ t ˈə j l + a,s t ˈe l + a,s t ˈe lː + a,s t ˈæ,s t ˈɛ j l + a,i s t ˈe ɖː + a,e s t ɾ ˈɛ lˠ + a,s t ˈe w + ə,s t ˈi ɖː + a,ə s t ɾ ˈe ʎ + ə,s t ˈe lː + ə,e s t ɾ ˈe ʎ + ˈɛ,ʃ t ˈi ɖː + a,s t ˈe l + a,e s t ˈe l + o,s t ˈe lː + a,s t ˈɛ a l + a,s t r ˈɛ l + a,s t e v a,ʃ t ˈa j l + ə,ʃ t ˈi ɖː + a,s t ˈe lː + a,ʃ t ˈɛ j + a,ʃ t ˈɛ j l + ə,ʃ t ˈɛ j l + ə,a s t ɾ ˈe lˠ + a,ʃ t ˈa j l + ə,s t ˈe + a,s t ˈœ l + a
81_stone,tʲ ˈe̯a t r + ə,p ˈɛ r + a,p ˈj ˈɛ r + a,p ˈe r d + a,p ˈe r + a,dʒ a r + ˈɔ w n,p ˈe ð ɾ + a,p ˈj e ð ɾ + a,p ˈɛ ʈ ɽ + a,p ˈe ð ɾ + ə,p ˈi t r + a,s a s,p r ˈɛ d + a,k l a p,s a s,p r ˈiː + a,s ˈa sː + o,ˈə r p + a,p ˈɛ r + a,p ˈe r d + a,p ˈe ð ɾ + a,r ˈɔ p + ə,p ˈɛ ʈ ɽ + a,p ˈe ð ɾ + ə,p r ˈɛ t + ə,p ˈe ð ɾ + ˈɛ,p ˈj ˈɛ ʈ ɽ + a,s a s,p ˈɛ j ɾ + o,p r ˈi + a,s a s,p r ˈeː d + a,p ˈj a t r + ə,k r a p,p ˈɛ ʈ ɽ + a,p ˈj ˈɛ t r + a,p r ˈɛ j + a,k r a p,k r a p,p ˈe ð ɾ + a,k r a p,p ˈj ˈɛ r + a,p r ˈɛ j + a
82_sun,s ˈo̯a r + e,s u l,s o l,s ˈɔ l + i,s u l,s oː l,s ˈɔ lˠ,s o l,s ˈu l + i,s ˈɔ lˠ,s a w l,s o r ˈe j + e,s o l,s o r ˈɛ l + i,s u r ˈə d l,s uː,s ˈo l + e,s ˈo r + e,s u l,s ˈo l + e,s ˈɔ lˠ,s ˈo̯a r + i,s ˈu l + i,s ˈɔ lˠ,s ˈo l + ə,s ˈɔ lˠ,s ˈu l + i,s o l,s u l ˈɛ w,s u,s o w l,s ˈɔ w l,s ˈo v a r + e,s u l ˈe ʎ,s ˈu l + i,s ˈo l + e,s u,s u ʎ ˈe ʎ,s u l ˈe ʎ,s ˈɔ lˠ,s u l ˈa j,s o l,s u l
83_swim,a n ˈo t + u,n u + ˈe,n o ð + ˈa + r,n a d + ˈa j,n u + ˈe,n u d + ˈɛː r,n a ð + ˈa + ɾ,n a ð + ˈa + ɾ,n a t + ˈa + ɾ i,n ə ð + ˈa,n o t + ˈw o r,n o d + ˈɛ r,n u d + ˈa r,n a d + ˈaː,n u d + ˈɛ,n œ + ˈaː,n o t + ˈa + r e,p l i v + ˈi,n u + ˈe,n a d + ˈa + r e,n a ð + ˈa + ɾ,p l i v + ə j + ˈe s,n a t + ˈa + ɾ ɨ,n ə ð + ˈa,n a t + ˈa,n a ð + ˈa,n a t + ˈa + ɾ i,n o ɡ + ˈa + r,n e d + ˈa,ɲ u + ˈa,n a v i ɡ + ˈe a,n u d + ˈɛː r,a + ɨ n o t + ˈa,n u d + ˈa r,n a t + ˈa + ɾ i,n w o t + ˈa + r e,n œ + ˈɛ,n u d + ˈa r,s ə + n u d + ˈa r,n a ð + ˈi + ɾ,n ə d + ˈa r,n u + ˈa + r,n a v + ˈɛ
84_tail,k ˈo̯a d + ə,k ˈu + a,k ˈo ð + a,k ˈɔ + a,k ˈu + a,k ˈɔ v + a,k ˈu + a,k ˈo l + a,k ˈu d + a,k ˈu + ə,k u d,k ˈo w d + a,k ˈɔ + a,k ˈɔ d + e,k ˈo d + a,k ˈuː + a,k ˈo d + a,k ˈo d + ˈæ,k ˈu + a,k ˈo + a,k ˈu + a,k ˈo̯a d + ə,k ˈu d + a,k ˈo + ə,k ˈo ɾ + ə,k ˈu + ˈɛ,k ˈu ɾ + a,k ˈo + a,k o,k ˈu + a,k ˈo w d + a,k ˈɔ v + a,k ˈo v a d + ə,k ˈu + ə,k ˈu ɾ + a,k ˈo d + a,k ˈu + a,k ˈu + ə,k ˈu + ə,k ˈu + a,k ˈu + ə,k ˈo + a,k ˈu + a
85_that,a ts ˈe + l u,k u l,k w e l,k ˈu dː + u,k u l,k w ˈɛː l,a k ˈe ʎ,a k ˈe l,k ˈi ɖː + u,ə k ˈɛ ʎ,k o l,k e l,k w e l,k ˈɛ l,k ə l,k w ˈɛ l + u + l ˈi,k ˈw e lː + o,a tʃ ˈe + l a,tʃ ə l,k ˈu ɖː + u,a k ˈe ʎ,ts ˈe + l a,k ˈi ɖː + u,ə k ˈɛ j,k ˈi lː + ə,a k ˈe ʎ,k ˈi ɖː + u,k w e l,a k ˈe w,k w ˈɛ lː + u,k w ˈɛ l,k ˈɔ l,a tʃ ˈe + l,tʃ e l,k ˈi ɖː + u,k ˈw e lː + o,k w ˈɛː lː + u,ˈa w t ə r,tʃ e l,a k ˈe ʎ,k w e l,k w ˈɛ + o,k u l + l ˈa
86_this,a ˈe + s t u,k u s t,k w ˈe s t + o,k ˈu s t + u,k u s t,k w ˈɛ s t,a k ˈe s t,ˈe s t + e,k ˈi s t + u,ə k ˈɛ t,k o s t,k e ʃ t,k w e s t,k ˈɛ s t,k ə ʃ t,s t ˈu + k ˈi,k ˈw e s t + o,tʃ ˈe + s t a,k u s t,k ˈu s t + u,ˈe s t + e,ts ˈi + s t a,k ˈi s t + u,ə k ˈɛ t,k ˈi s t + ə,a k ˈe t,k ˈi s t + u,s t + o,a k ˈe s t,k w ˈɛ s t + u,k w e s t,k ˈɔ s t,a tʃ ˈe s t,k w ˈɛ l,k ˈi s t + u,k ˈw e s t + o,k w ˈɛː s t + u,tɕ e l,k w e l,ˈe s t + e,k w i s t,k w ˈe s t + o,k u s + k ˈiː
87_thou,t ˈi n e,t i,t i,t u j,t i,t ˈɛ,t u,t u,t u,t u,t u,t u,t i,t u,t u,t i,t e,t u,t i,t ˈu + e,t u,t u,t u,t u,t u,t u,t u,t i,t y,t i,t e,t e,t u,t i,t u,t u,t i,t e,t i,t u,t y,t i,t iː
88_tongue,l ˈi m b + ə,l ˈɛ ŋ ɡ + a,l ˈe ŋ ɡ w + a,l ˈi m b + a,l ˈe ŋ ɡ + a,l ˈɛ ŋ ɡ v + a,ʎ ˈe ŋ ɣ w + a,l ˈe ŋ ɡ w + a,l ˈi ŋ ɡ w + a,ʎ ˈe ŋ ɣ w + ə,l ˈa ŋ ɡ + a,l ˈe ŋ ɡ + a,l ˈɛ ŋ ɡ w + a,l ˈɛ ŋ ɡ + e,l ˈə ŋ ɡ + a,l ˈi ŋ ɡ w + a,l ˈi ŋ ɡ w + a,l ˈi m b + ˈæ,l ˈɛ ŋ ɡ + a,l ˈi m b + a,ʎ ˈe ŋ ɣ w + a,l ˈi m b + ə,l ˈi ŋ ɡ w + a,ʎ ˈe ŋ ɣ + u,l ˈe ŋ ɡ w + ə,ʎ ˈe ŋ ɣ w + ˈɛ,l ˈi ŋ ɡ w + a,l ˈe ŋ ɡ w + a,l ˈe ŋ ɡ + o,l ˈi ŋ ɡ w + a,l ˈe n ɡ v + a,l ˈɛ ŋ ɡ w + a,l ˈi m b + ə,l ˈj e w ŋ ɡ + ə,l ˈi ŋ k w + a,l ˈi ŋ ɡ w + a,l ˈæː ŋ ɡ w + a,ʎ ˈa ŋ ɡ + ə,l ˈj e w ŋ ɡ + ə,ʎ ˈe ŋ ɣ w + a,l ˈe w + ə,ˈe ŋ ɡ w + a,l ˈeː ŋ ɡ w + a
89_tooth,d ˈi n t + e,d ˈɛ ŋ t,d ˈɛ ŋ t,d ˈɛ n t + i,d ˈɛ ŋ t,d ˈɛ j n t,d e n t,d ˈj e n t + e,d ˈɛ n t + i,d e n,d j a n t,d e n t,d e n t,d i n t,d ə n t,d ˈe n t + e,d ˈɛ n t + e,d ˈi n t + e,d ˈɛ ŋ t,d ˈe n t + e,d e n t,d ˈi n t + i,ɾ ˈɛ n t + ɨ,d e n t,d ˈɛ n t + ə,d e n,ɾ ˈj ˈɛ n t + i,d ˈɛ ŋ t,d ˈɛ n t,d ˈɛ n t + e,d ˈẽ n t,d ˈɛ j n t,d ˈi n t + e,d ˈɛ n t,ɾ ˈɛ n t + i,d ˈɛ n t + e,d ˈæː ŋ tʃ + u,d a j n t,d ˈɛ n t,d e n t,d a j n t,d ˈe ŋ t + e,d eː ŋ tʃ
8_black,l ˈa j + u,n ˈɛ j r,n ˈe r + o,n ˈj e dː + u,n ˈɛ j r,n ˈe ɡ e r,n ˈe ɣ ɾ + e,n ˈe ɣ ɾ + o,n ˈi u ɾ + u,n ˈɛ ɣ ɾ + ə,n j a r,n ˈe j ɡ ˈɛ r,n ˈɛ ɡ a r,n ˈe r + i,f o ʃ k,n ˈeː j ɡ r + u,n ˈe r + o,n ˈe ɡ r + u,n ˈɛ j r,n i ɡ ˈe ɖː + u,n ˈe ɣ ɾ + e,n ˈe ɡ r + u,n ˈi u ɾ + u,n ˈɛ ɣ ɾ + ə,n ˈi r + ə,n ˈe ɣ ɾ + e,n ˈi v u ɾ + u,n ˈe ɡ r + o,n ˈe ɡ ɾ + e,n ˈe j ɡ r + u,n ˈi ɡ a r,n ˈiː ɡ e r,n ˈe ɡ r + u,n a j r,n ˈi v i ɾ + u,n ˈe r + o,n ˈɛː j ɡ r + u,n ˈeə r,n e r,n ˈe ɣ ɾ + e,n a j r,n ˈe r + o,n ˈeː r + u
90_tree,ˈa r b u r + i,ˈɛ r b + u,ˈa l b e r + o,m ˈa tː + a,ˈɛ r b + u,ˈe l b e r,ˈa β ɾ + e,ˈa ɾ β o l,ˈa ɾ v u l + u,ˈa β ɾ + ə,j ˈa r b u r,ˈɛ l b ˈɛ r,ˈa r b u l,ˈa r b u l,l ə ŋ,ˈeː r b + u,p ˈj a n t + a,l ˈe m ə n,p ˈj a ŋ t + a,ˈa r v u r + e,ˈa β ɾ + e,ˈa r b u r,ˈa bː u ɾ + u,ˈa β ɾ + ə,ˈa β ə r + ə,ˈa β ɾ + e,ˈa ɾ b u l + u,ˈa l b e r,ˈa w b ɾ + e,ˈæː r b + u,ˈe a l b a r,ˈɛː l b e r,k o p ˈa k,p l ˈa n t + ə,m ˈa tːʃ + a,ˈa l b e r + o,ˈæː r b + uː,p l ˈa n t + ə,p l ˈɔ n t + ə,ˈa β ɾ + e,b œ ʃ tɕ,ˈa l b e r + o,p ˈj a ŋ t + a
91_two,d o j,d u j,d o j,d ˈu + z u,d u j,d uː,d o s,d o s,d ˈui,d o s,d o j,d o j,d u,d ˈɔ j,d o j,d u ˈiː,d ˈu e,d o j,d u j,d ˈu + o s,d o s,d o j,d ˈui,d o s,d ˈo j + ə,d o s,ɾ ˈui,d o j,d u s,d u ˈi,d o,d ˈɔ w,d o j,d u s,ɾ ˈu ˈɛ,d ˈu e,d ɥ i,d u s,d u s,d o s,d w o s,d o,d y j
92_walkgo,ˈi m n + u,v a,v a,a n d + ˈa j,v a,v a,v a,b a,v a,b a,v i s,v a,v a,v a,v a,v a,v a,m ˈæ r + e,v a,a n d + ˈa + r e,b a,ˈa m n + u,v a,b a,v a,b a,v a,v a,v a j,v a,v a,v a,a + u m b l + ˈa,i r,v a,v a,v a,ˈɛ k r,v a,b a,v a,v a,v a
93_warm,k ˈa l d + u,t ˈə b + i,k a l t,k a l + ˈo r + u,k a w d,k a l d + ˈɛ j n,k a lˠ + ˈe n t,k a l + ˈj e n t + e,t ˈɛ p i d + u,k ə lˠ + ˈe n,k w o l t,tɕ a w t,k a l d,tʲ a l t,tɕ a w t,t ˈj e p i d + u,k ˈa l d + o,k ɒ d,t ˈə b + i,k a dz ˈe n t + e,k a lˠ + ˈe n t,k a l t,k ˈau dː + u,k ə ˈlˠ + e n,k ˈa β ə r + ə,k a lˠ + ˈe n,k ˈa v u ɾ + u,k a l t,k a w t,k ˈaː d + u,k e a l d,k ˈɛː l d,k a l d,tɕ a w t,k ˈau ɾ + u,k ˈa l d + o,tʃ ˈe pː + u,tʲ o t,k a w l t,t e m p lˠ + ˈa t,tɕ o t,t ˈj ˈɛ p i d + o,k a w t
94_water,ˈa p + ə,ˈɛ v + a,ˈa k w + a,ˈa bː + a,ˈe v + a,ˈa k w + a,ˈa j ɣ w + a,ˈa ɣ w + a,ˈa kː w + a,ˈa j ɣ w + ə,j ˈa k w + a,ˈɛ ɡ + a,ˈa k w + a,ˈa ɡ + e,ˈɛ ɡ + a,ˈeː ɡ w + a,ˈa kː w + a,ˈɒ p + ˈæ,ˈe v + a,ˈa bː + a,ˈai w + a,ˈa p + u,ˈa kː w + a,ˈa j ɣ + u,ˈa kː w + ə,ˈa j ɣ w + ˈɛ,ˈa kː w + a,ˈa k w + a,ˈa j ɡ + o,ˈæː ɡ w + a,ˈa k v + a,ˈaː k v + a,ˈa p + ə,ˈa w + ə,ˈa kː w + a,ˈa kː w + a,ˈæː ɡ w + a,ˈa v + ə,ˈa w + ə,ˈai w + a,ˈa w + ə,ˈa k w + a,ˈa k w + a
95_we,n o j,n u j,n o j,n o z + ˈa t r u + z u,n u j,n u + ˈɛ t e r,n o z + ˈa lˠ t ɾ + e s,n o s + ˈo t ɾ + o s,n ˈui,n u z + ˈa lˠ t ɾ + ə s,n o j,n o s,,n oː,n ə w s,n u iː + ˈa t r + i,n ˈoi,n o j,n u j,n ˈoi s,n o z + ˈa lˠ t ɾ + e s,n o j,n ˈui,n ˈo + lˠ t ɾ + u s,n ˈu j + ə,n o z + ˈa lˠ t ɾ + e s,n u + ˈa v u ʈ ɽ + i,n o j,n u s,n u ˈi,n o w,n u + ˈɛː t e r,n o j,n u s,n i + ˈa w ʈ ɽ + i,n ˈoi,n ɥ i + ˈa t r + i,n o w s,n u s,m o s + ˈa t ɾ + o s,n u s,n i + ˈa l t r + i,n y j
96_what,ts e,k ˈɔ z a,k e,ˈi tː a,k ˈɔ z a,k ˈu z a,k e,k e,k i,k ˈɛ,k o s,k e + p a,k ˈu z a,tʃ e,tʃ ə,k ˈo s e,k e,tʃ e,k ˈɔ z a,ˈi tː + e,k e,ts e,k i,k ˈɛ,k ə,k e,k i,k e,k e,k o sː ˈe,k e,k s aː,tʃ e,tɕ e,k i,k e,k ˈoː sː e,tʲ e,tɕ e j,k e,tɕ e,k ˈɔ s a,k w ˈɛ
97_white,ˈa l b + u,b j a ŋ k,b j a ŋ k,b j ˈa ŋ k + u,b j a ŋ k,b j a ŋ k,b lˠ a ŋ k,b l ˈa ŋ k + o,ˈj a ŋ k + u,b lˠ a ŋ,j w a l b,b j a ŋ k,b j a ŋ k,b l a ŋ k,b l a ŋ k,dʒ ˈa ŋ k + u,b ˈj a ŋ k + o,ɒ b,b j a ŋ k,b ˈj a ŋ k + u,b lˠ a ŋ k,a l p,ˈj a ŋ k + u,b lˠ a ŋ,j ˈa ŋ k + ə,b lˠ a ŋ,b ˈj a ŋ k + u,b j a ŋ k,b l a ŋ k,dʒ ˈaː ŋ k + u,b j ˈã n k,b j aː ŋ k,a l b,a l f,b r ˈa ŋ k + u,b ˈj a ŋ k + o,dʒ ˈaː ŋ k + u,a l f,a l f,b lˠ a ŋ k,a l p,b ˈj a ŋ k + o,b j aː ŋ k
98_who,k ˈa r + e,k i,k i,k ˈi + n i,k i,k i,k i,k j e n,k ˈui,k i,k u,k i + p a,k i,k u j,k i,k i,k i,tʃ ˈi r e,k i,k ˈi + e,k i,k ˈa r + i,k u,k i,k i,k i,k u,k i,k u,k i,k i,k i,tʃ ˈi n e,tɕ i,k ˈui,k i,k i,tʲ i,tɕ i,k i,tɕ i,k i,k i
99_woman,m u ʎ ˈe̯a r + e,f ˈu m n + a,f ˈe m e n + a,f ˈɛ mː i n + a,f ˈu m n + a,d ˈɔ n + a,d ˈɔ n + a,m u x ˈe ɾ,f ˈi mː i n + a,d ˈɔ n + ə,m u ʎ ˈe r,f ˈe m e n + a,d ˈɔ n + a,f ˈɛ m i n + e,ˈə j l + a,d ˈœ nː + a,d ˈɔ nː + a,ʒ ˈe n s k + ˈæ,f ˈu m n + a,ˈe mː i n + a,d ˈɔ n + a,m u ʎ ˈa r + i,f ˈi mː ɨ n + a,d ˈɔ n + ə,f ˈɛ mː ə n + ə,d ˈɔ n + ˈɛ,f ˈi mː i n + a,f ˈe m e n + a,f ˈe m + o,d ˈo nː + a,d ˈo n + a,d ˈɔ n + a,f e m ˈe j + e,f ˈɛ m n + ə,f ˈi mː i n + a,d ˈɔ nː + a,d ˈoː nː + a,f ˈɛ m n + ə,f ˈɛ m n + ə,d ˈɔ n + a,d ˈw ˈɔ n + ə,d ˈo n + a,d ˈɔː n + a
9_blood,s ˈɨ n dz + e,s a ŋ ɡ,s ˈa ŋ ɡ w + e,s ˈa ŋ ɡ u n + i,s a ŋ ɡ,s ˈa ŋ ɡ e v,s a ŋ k,s ˈa ŋ ɡ ɾ + e,s ˈa ŋ ɡ + u,s a ŋ,s w o ŋ ɡ,s a ŋ k,s a ŋ ɡ,s a ŋ k,s a ŋ k,s ˈa ŋ ɡ w + e,s ˈa ŋ ɡ w + e,s ˈə n z + e,s a ŋ ɡ,s ˈa m b e n + e,s a ŋ k,s ˈɔ n z + i,s ˈa ŋ ɡ + u,s a ŋ k,s ˈa ŋ ɡ + ə,s a ŋ,s ˈa ŋ ɡ + u,s ˈa ŋ ɡ w + e,s a ŋ k,s ˈa ŋ ɡ w + e,s ˈã ŋ ɡ v,s ˈaː ŋ ɡ o v,s ˈɨ n dʒ + e,s a ŋ k,s ˈa ŋ k + u,s ˈa ŋ ɡ w + e,s ˈaː ŋ ɡ w + e,s a ŋ k,s a w ŋ k,s a ŋ k,s a ŋ k,s ˈa ŋ ɡ w + e,s a ŋ
