Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
10_black	ⁿtʃ a ³ ʔ i ⁵	t o ¹ õ ⁵		tⁿ õ ³ õ ⁵	t ũ ¹ ũ ¹					ⁿdʲ a ⁵ a ⁵			ⁿtʃ e ⁵ ʔ i ¹	Ø/¹ + tⁿ u ⁵ u ⁵	Ø/¹⁵ + t u ¹ h ũ ¹⁵/⁵			t õ õ			m ã ² + r u ³¹		ⁿd e ³ i ³ ʔ i ⁵					n̥ u ⁵ u ⁵		t ũ ¹ ũ ⁵			Ø/⁵ + t ũ ¹/⁵ ũ ⁵/¹	t ũ ³ ũ ³	m a + ʂ u ³¹	tⁿ u ⁵ u ³					kʷ ẽ				Ø/⁵ + t ũ ¹ ũ ⁵/¹		m a ² + ɾ u ³¹						t u ⁵ u ⁵					t ũ ³ ũ ³			ⁿd e ʔ i	Ø/¹ + tⁿ o o	Ø/⁵ + t o ¹ õ ⁵/¹													t ũ ¹ ũ ¹	kʷ ẽ ⁵	t ũ ¹ ũ ¹				Ø/¹ + t ũ ³ ũ ¹						Ø/³ + t o ³/¹ õ ³/¹							n̥ u ⁵ u ⁵	tⁿ u ³ u ³			t ũ ³ ũ ⁵		t ũ ¹ ũ ⁵ ʔ		t ũ ¹ ũ ⁵		ⁿd a ⁵ a ⁵	ⁿd a ⁵ a ⁵	ⁿtʃ a ⁵ ʔ i ¹			
110_when	n a ³	a ³ m a ³	a ³ m a ³	ã m ã	t e ³ + a ³ m a ³	ã m ã	n + ã m ã	ã m ã	ã m ã	a ³ m a ³	t a ⁵	ɲ + ã m ã		a ³ m a ³		ã w ã	ⁿdʲ + ã m ã	a m a	n ã + ʔ ã m ã	a m a ʔ a	d + a ³ m ã ¹		ⁿd a ⁵ + õ ³ õ ³	ã m ã	ã w ã	ã n ã	n ã + ã m ã	n a ³	ã w ã	ⁿd a ⁵ + ʔ m a ³	ã m ã	ã m ã	a m a ⁵	a ⁵ m a ⁵		n a ⁵	ⁿdʲ i + k i i	n + ã ʔ m ã	ã m ã	n ã + ã m ã	t i + kʷ ã	ã w ã	ⁿd a + k i β i		ɲ + a ³ m a ³	ⁿd a ʔ ã + n ã	a ² m ə̃ ²	ã m ã	n ã + ʔ ã m ã	n ã + ʔ ã m ã	ã m ã	ã m ã	ã ³ m ã ³	n ã ã + ɲ ã m ã	ã w ã	ã w ã	n ã + ð a a	n ã + ʔ m ã	n ã ã + k i u	ã w ã		a m a + n a	ã m ã	ɲ + ã m ã	ã m ã	ã m ã	ã w ã	i i + ð a β a	ã m ã	n + ã m ã	n + ã m ã	ã w ã	ã m ã	ã m ã	ã w ã	ã w ã		n + ã m ã	n ã + ʔ ã m ã	n ẽ ⁵ + k i ⁵ β ɨ ³	ⁿd a ⁵¹ + k i ¹ i ⁵	a ³ m a ³	ã m ã	n ã + k i i	n + ã m ã	ã m ã	ã w ã	a ⁵ m a ⁵		n ĩ ³ + k i ⁵ w ɨ ¹	ã w ã		n ã ã		n ã + s a				n + a ³ m a ³	ɲ ã + ɲ ã m ã	a ¹ m a ¹	ã m ã		ã m ã	a ³ m a ³	a ³ m a ³		ⁿd a ⁵	ⁿd e + ã m ã	ⁿd e + k i i
111_white	ʒ a ³ a ³	j a ³ a ³			kʷ ĩ ³ x ĩ ⁵					j a ³ a ³			j a ³ a ³	kʷ i ⁵ h ĩ ⁵	j a ³ a ³			kʷ i s i		k a ts i ʔ a	g a ² ts i ¹		k u ³ ʃ i ⁵					kʷ i ⁵ x ĩ ⁵		ʒ a ³ a ³			kʷ i ¹ ʔ ʃ ĩ ⁵	kʷ i ³ ts ĩ ⁵	k a ts i ¹	kʷ i ¹ ʃ i ⁵	kʷ i ⁵ ts i ¹				kʷ a			j a ³ a ³			k a ¹ s i ¹						kʷ i ⁵ x ĩ ⁵								kʷ i h ĩ	kʷ i s i	j a ³ a ³														kʷ a ⁵¹	kʷ i ⁵¹ ʃ ĩ ⁵				kʷ i tʃ ĩ		k u ⁵ ʃ i ⁵				kʷ i ³ tʃ ĩ ⁵							kʷ i ⁵ x ĩ ⁵	kʷ i ³ ʃ ĩ ³			kʷ i ³ x ĩ ⁵		j a ¹ a ¹					j a ³ a ³	j a ³ a ³			
112_wing		ⁿd i ³ ʃ ĩ ¹	ⁿd i ʃ ĩ	ⁿd i ʃ ĩ	ⁿd i ⁵ x i ¹	ⁿd i ʃ ĩ	ⁿd i ʃ ĩ	ⁿd u ʃ ĩ	ⁿd ĩ x ĩ	ⁿd i ¹ ʃ ĩ ⁵	ⁿd s i ¹ s i ¹	ⁿd i s i	ⁿts i ¹ ts i ¹⁵	ⁿd i ³ h ĩ ¹	ⁿtʃ i ¹ ʃ ĩ ¹⁵	ⁿd i tʃ ĩ	ⁿd i ¹ s i ¹	ⁿd i tʃ i	ⁿd i x ĩ	d e + g a ʃ i	s i ³ + g a ² tʃ i ³	ⁿdʒ i ʃ ĩ + t i	ⁿd i ³ ʃ i ¹	ⁿd i x i	ⁿd i tʃ ĩ	ⁿdʒ i ʃ i	ⁿd i x ĩ	ⁿd i ³ x ẽ ¹	ⁿd i tʃ ĩ			ⁿd i ʃ i	ⁿd i ʃ ĩ	ⁿd i ¹ ts ĩ ¹			ⁿdʲ i tʃ ĩ	ⁿd i x ĩ	ⁿd i ʃ ɨ	ⁿd i x ĩ	g a tʃ i	ⁿdʲ i tʃ ĩ	ⁿd i ʃ i	ⁿtʃ i ¹ ʃ ĩ ¹⁵	ⁿdʑ i ¹ ɕ ĩ ¹	ⁿd i ʃ i	tʃ i ³ k o h ⁵	ⁿtʃ i ʃ ĩ		ⁿd i x ĩ	ⁿd i ʃ i	ⁿdʒ i ʃ i	ⁿd i ³ x ĩ ¹ + t ɨ ⁵	ⁿdʒ ĩ ĩ	ⁿd i tʃ ĩ	ⁿd i tʃ ĩ	ⁿdʒ i ʃ ĩ	ⁿd i x ĩ	ⁿdʒ i s ĩ	ⁿd i tʃ i		ⁿd i s i	ⁿd i ¹ s i ¹	ⁿd i ³ ʃ i ¹	ⁿd ĩ x ĩ	ⁿd i ʃ i	ⁿd i tʃ ĩ	ⁿdʒ ĩ ĩ	ⁿd i ʃ ĩ	t ɨ + ⁿd i xʲ ẽ		ⁿd i s ĩ	ⁿdʒ i ʃ i	ⁿdʒ ĩ ĩ	ⁿd i tʃ ĩ	ⁿd i tʃ ĩ	gʷ e ¹ tʃ e ³	ⁿd i ⁵ ʃ ĩ ⁵	ⁿd i ʃ ĩ	tʃ i ¹ j o ¹	ⁿd i ¹ s ĩ ⁵	ⁿd i tʃ ĩ	ⁿʒ i ʃ ĩ	ⁿd i ʃ ĩ	ⁿd i ʃ ĩ	ⁿdʒ i ʃ i	ⁿd i tʃ ĩ	ⁿd i tʃ i	ⁿdʲ i sʲ i	tʃ i ¹ j o ³	ⁿd i tʃ i		ⁿd i ʂ ĩ	ⁿd i ʃ ĩ	ⁿd i x ĩ	ⁿd i ⁵ x ĩ	ⁿdʒ i ʃ ĩ	ⁿd i ʃ ĩ	n ĩ x ĩ ⁵	ⁿtʃ i ʃ i	ⁿd i ʃ ĩ	ⁿd i ʃ ĩ	ⁿd i ¹ ʃ ĩ ³		ⁿd i ¹ ʃ ĩ ⁵	ⁿd i ¹ ʃ ĩ ⁵	ⁿd s i ¹ ts i ¹⁵	ⁿd i ¹ s i ¹		ⁿdʲ i ʃ i
113_woman	ɲ a ¹ ʔ ã ³	ɲ a ³ ʔ ã ¹		ɲ a ³ ʔ a ¹	ɲ ã ³ ʔ ã ³					ɲ a ⁵ + s i ⁵ ʔ i ³				ɲ a ³ ʔ a ³				ɲ a ʔ a		ts i + ʃ u n a ʔ a	ʃ a ³ n a ¹		ɲ a ⁵ ʔ a ¹					ɲ a ³ ʔ ã ³		ɲ a ⁵ ʔ a ¹	ɲ ã ³ ʔ ã ¹			ɲ a ³ ʔ a ³	ʃ a ³ n a ʔ ¹	ɲ a ¹ + ð ɨ ¹ ʔ ɨ ⁵	ɲ ã ³ ʔ ã ⁵				ⁿd a t a			s i ³ ʔ i ³	ɲ a ³ ʔ a ¹		j u ³ ʔ ũ h ³						ɲ ã ³ ʔ ã ³					ɲ ã ³ ʔ ã ³			ɲ a ʔ a	ɲ a ʔ a + ð e ʔ e														ɲ ã ¹ ʔ ã ¹	ⁿd ʔ ɑ ³ t ɑ ³					ɲ a ʔ a						ɲ a ³ ʔ a ³							ɲ a ³ ʔ a ³	x a ³ ʔ ã ¹			ɲ a ³ ʔ ã ³		ɲ a ¹ ʔ a ³ ʔ		ɲ a ⁵ ʔ a ³		ɲ a ³ ʔ a ⁵	ɲ a ³ ʔ a ⁵	ɲ a ³ ʔ a ⁵			
114_word	t u ³ ʔ ũ ³	t o ¹ ʔ õ ³	t u ¹ ʔ ũ ³	tⁿ õ ³ ʔ õ ³	t ũ ³ ʔ ũ ⁵	t ũ ¹ ʔ ũ ³	t ũ	t õ ʔ õ	ⁿd u ð u	t u ¹ ʔ ũ ³	t ũ ¹ ʔ ũ ¹	t ũ ʔ ũ	t u ¹ ʔ ũ ³	s a ³ ʔ ã ¹	t u ¹ ʔ ũ ³	t ũ ʔ ũ	t õ ʔ õ	t u ¹ ʔ ũ ³	t n̥ ũ ʔ ũ	n gʷ ã ʔ a	n u ³ gʷ ã ʔ ³	tʲ õ ʔ õ	t o ¹ ʔ õ ³	n̥ n ũ ʔ ũ	t ũ ʔ ũ	tⁿ õ ʔ õ	tⁿ ũ ʔ ũ	n̥ u ¹ ʔ ũ ³	t ũ ʔ ũ	t u ¹ ʔ ũ ³	t a tʃ i	t õ ³ ʔ õ ³	t u ⁵ ʔ ũ ¹	t u ³ ʔ ũ ³	n a ³ n a ʔ ¹	tⁿ u ⁵ ʔ u ⁵	t ũ ¹ ʔ ũ ³	tⁿ õ ʔ õ	n̥ n ũ ʔ ũ	n̥ n ũ ʔ ũ	ⁿd u ð a	t ũ ʔ ũ	t ũ ʔ ũ	t o ¹ ʔ õ ³	t u ¹ ʔ ũ ³	t ũ ʔ ũ	n u ³ kʷ ã ʔ ³	t ũ ⁵ ʔ ũ	n ũ ʔ ũ	t n̥ ũ ʔ ũ	t ũ ¹ ʔ ũ ⁵	t õ ʔ õ	t ũ ¹ ʔ ũ ³	n ũ ʔ ũ	t ũ ʔ ũ	t ũ ʔ ũ	t õ ʔ õ	t n̥ ũ ʔ ũ	tⁿ ũ ʔ ũ	t ũ ʔ ũ		ⁿd u ð u	t o ¹ ʔ õ ³	t ũ ʔ ũ	ⁿd u ð u	t ũ ʔ ũ	t ũ ʔ ũ	tⁿ ũ ʔ ũ	tⁿ õ ʔ õ	t ũ ʔ ũ	tⁿ ũ ʔ ũ	t ũ ʔ ũ	t ũ ʔ ũ	tⁿ ũ ʔ ũ	t õ ʔ õ	t ũ ⁵ ʔ ũ ⁵	ⁿd u ³ ð u ³	tⁿ ũ ʔ ũ	t n̥ ũ ʔ ũ	t ũ ¹ ʔ ũ ³	t ũ ¹ ʔ ũ ³	t u ³ ʔ ũ ³¹	t õ ʔ õ	t ũ ʔ ũ		t ũ ʔ ũ	t ũ ʔ ũ	t u ³ ʔ ũ ¹	t ũ ʔ ũ	t ũ ¹ ʔ ũ ³	t ũ ʔ ũ	t ũ ¹ ʔ ũ ⁵	tⁿ ũ ʔ ũ		n̥ u ¹ ʔ u ¹	tⁿ u ³ ʔ ũ ¹	tʲ ũ ʔ ũ		t u ¹ ʔ ũ ³	t ũ ¹ ʔ ũ ³	t ũ ¹ ʔ ũ ¹	ð ã ʔ ã	t u ¹ ʔ ũ ³	ð ã ¹ ʔ ã ¹	t u ¹ ʔ ũ ³	t u ¹ ʔ ũ ³	t u ¹ ʔ ũ ³	t ũ ʔ ũ	t u ¹ ʔ ũ ³	
115_workingorwork	tʃ ũ ³ ũ ³	tʃ i ³ ɲ o ³	tʃ i ³ ɲ u ³	tʃ i ³ ɲ o ³	t ĩ ³ ũ ³	tʃ i ɲ ũ	tʃ ĩ ɲ ũ	tʃ õ õ	tʃ ĩ ɲ ũ	tʃ i ³ ɲ u ³	tʃ ĩ ũ	tʃ ĩ ũ	tʃ ũ ³ ũ ³	tⁿ i ³ ɲ u ³	tʃ i ³ ɲ u ³	t i ɲ ũ	tʃ ũ ũ	tʲ i ɲ o	t n̥ ĩ ɲ ũ	s ũ ʔ a	s ũ ³²	t ĩ ɲ õ	tʃ õ ³ õ ³		t i ɲ ũ	tⁿ ĩ õ	tⁿ ĩ ɲ õ	n̥ i ³ ɲ u ³	tʲ i ɲ ũ	tʃ ũ ³ ũ ³	tʃ ũ ³ ũ ³	tʃ ũ ũ	ts i ¹ ɲ u ¹	tʲ i ³ ɲ u ³	z ũ ³²	tⁿ i ⁵ u ⁵	tʃ ĩ ³ ũ ³	tⁿ ũ ũ	nː ĩ ũ	nː ĩ ɲ ũ	ⁿd i ɲ u	tʲ i ɲ ũ	tʃ ũ ũ	tʃ i ³ ɲ u ³	tʃ ũ ³ ũ ³	tʃ õ õ	s ũ ³²	t u + ⁿd o ʔ o	n ĩ õ	t i u	tʃ ũ ũ	tʃ õ õ	t i ³ ɲ ũ ³	n ĩ ɲ ũ	t i ɲ ũ	t i ɲ ũ	tʃ ĩ ɲ õ	t ĩ ³ ɲ ũ ³	tⁿ ĩ ũ	tʲ i ɲ õ	tⁿ i u u	tⁿ i ɲ o	tʃ i ³ ɲ o ³	tʃ ũ ⁵ ũ ⁵	ts ĩ ɲ ũ		tʲ i ɲ ũ	tʃ ũ ũ	tʃ i ɲ õ	ⁿd e + t ĩ ũ	t i ɲ ũ	tʲ i n õ	tʃ ĩ ũ	tʃ ũ ũ	tʲ i ɲ ũ	t i ɲ ũ	ⁿd i ³ j ũ ³	tʃ ĩ ¹ ũ		t i ³ ɲ ũ ³	tʲ ũ ũ	t i ³ ɲ u ³	tʃ õ õ	tʃ õ ³ õ ³	tʃ ĩ ɲ ũ	tʲ ũ ũ	tʲ i ɲ ũ	t j i ³ ɲ o ³	tʃ ũ ũ	t i ³ ɲ ũ	t i ɲ ũ	tʃ ũ ũ	tⁿ ɨ̃ ũ	tʃ ĩ ũ	n̥ i ³ ɲ u ³	tⁿ i ⁵ ɲ u ¹	t ĩ ɲ ũ	tʃ ĩ ũ	t i ⁵ ɲ u ⁵	tʃ i ɲ ũ	tʃ ũ ¹ ũ ¹	tʃ ũ ũ	tʃ i ³ ɲ u ³	tʃ ũ ũ	tʃ i ³ ɲ u ³	tʃ i ³ ɲ u ³	tʃ ũ ³ ũ ³	tʃ ũ ũ	tʃ ũ ũ	tʃ ũ ũ
116_year	kʷ i ³ a ³	kʷ i ¹ j a ¹	kʷ i j a	kʷ i ³ j a ³	kʷ i ⁵ ʒ a ³	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i a	kʷ i ¹ j a ¹	kʷʲ a ¹ a ¹	kʷ i ¹ ʒ a ¹	kʷ i ¹ j a ¹	kʷ i ³ ʒ a ¹	kʷ i ³ j a ¹	kʷ i j a	kʷ i ¹ a ¹	kʷ i ¹ j a ¹	kʷ i ʒ a	j o ʔ o	j o ʔ ³	kʷ i a	kʷ i ³ a ¹	kʷ i ʒ a	kʷ i j a	kʷ i j a	kʷ i ʒ a	kʷ i ³ j a ¹	kʷ i j a	kʷʲ a ¹ a ¹	kʷ i a	kʷ i ¹ a ¹	kʷ i ⁵ a ¹	kʷ i ¹ j a ¹	j o ʔ ³	kʷ i ¹ a ⁵	kʷ i ¹ a ¹	kʷ i a	kʷ i a	kʷ i j a	ⁿd u j u	kʷ i j a	kʷ i a	kʷ i ¹ j a ¹	kʷ i ¹ a ¹	kʷ i j a		kʷ i a	kʷ i a	kʷ ĩ a a	kʷ i ¹ a ¹	kʷ i j a	kʷ i ³ a ¹	kʷ i ʒ a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i ¹ ʒ a ¹	kʷ i a	kʷ i j a	kʷ i a	kʷ i j a	kʷ i ¹ j a ¹	kʷ i a	kʷ i ʒ a	kʷ i a	kʷ i j a	kʷ i a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i j a	kʷ i j a	ⁿd u ⁴ j u ¹	kʷ i ⁵ a ⁵	kʷ i i a	kʷ i ¹ j a ¹	kʷ i ¹ a ¹	kʷ i j a	kʷ i a	k u ¹ a ¹	kʷ i a	kʷ i j a	kʷ i j a	kʷ i ¹ j a ¹	kʷ i a	kʷ i ¹ j a ¹	kʷ i a	kʷ i ¹ a ¹	kʷ i a	kʷ i a	kʷ i ³ j a ³	kʷ i ³ a ³	kʷ i a	kʷ i a	kʷ i ⁵ ʒ a ¹	k u i a	kʷ i ³ j a ¹	kʷ i a	kʷ i ³ j a ¹	kʷ i ¹ a ¹	kʷ i ¹ j a ¹	kʷ i ¹ j a ¹	kʷ i ¹ a ¹	kʷ i ¹ a ¹	kʷ i a	kʷ i a
117_yellow	kʷ ã ³	kʷ ã ⁵ ã ⁵	kʷ a ⁵ ã ²	kʷ ã ⁵ ã ⁵	kʷ ã ³ ã ⁵	kʷ ã ⁵ a	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ a ⁵ ã ³	kʷ ã ã	kʷ ã ⁵ ã ⁵	kʷ ã ⁵ ã ¹	kʷ ã ⁵ ã ⁵	kʷ a ⁵ ã ³	kʷ ã ã	kʷ ã ã	kʷ ã ⁵ ã ⁵	x a + kʷ ã ã	gʷ a + m i a ʔ a	m ã ² j a h ³²	kʷ ã ã	kʷ a ³ ã ⁵	xʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ a ⁵ ã ⁵	kʷ ã ã	kʷ a ⁵ ã ⁵	kʷ ã ¹ ã ⁵	kʷ ã ã	kʷ ã ¹ ã ⁵	kʷ a ³ ã ⁵	m i ⁵	kʷ ã ¹ ã ⁵	kʷ ã ⁵ ã ¹	x a + kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã	kʷ ã ã	kʷ ã ã	kʷ a ⁵ ã ³	kʷ a ⁵ ã ⁵	kʷ ã ã	m a ² j a h ³²	kʷ ã ⁵ ã ¹	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	x a ³ + kʷ ã ³ ã ³	xʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ a ã	kʷ a a	kʷ a ³ ã ⁵	kʷ ã ã	kʷ ã a	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ¹ ã ³	kʷ ã ⁴	kʷ ã ⁵¹ ã ⁵	kʷ ã ã	kʷ ã ⁵ ã ⁵	k ã ⁵ ã ¹	kʷ a ³ ã ⁵	kʷ ã ã	kʷ ã ¹ ã ⁵	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ã	kʷ ã ⁵ ã ⁵	kʷ ã ã		kʷ ã ã	kʷ ã ã	kʷ a ⁵ ã ⁵	kʷ a ³ ã ³	kʷ ã ã	kʷ ã ã	kʷ ã ¹ ã ⁵	kʷ ã ã	kʷ ã ³ ã ³	kʷ ã ã	kʷ ã ⁵ ã ³	kʷ ã ³ ã ⁵	kʷ a ⁵ ã ³	kʷ a ⁵ ã ²	kʷ a ⁵ ã ³	kʷ ã ã	kʷ a ⁵ ã ³	kʷ ã ã
118_yesterday	k u ⁵ n i ³	k o ³ n i ³	k u ³ n i ³	k o n i	i ⁵ k u ⁵	k u n i	i k u	k u n i	i k u	k u ³ n i ³	k o n i	k o n i	k u ³ n i ³	i ³ k u ³	k o ³ h n i ³	i k u	k o n i	i k u	i k u	k u k i ʔ + d i n ẽ	g u ³ k i ³	i k u	k o ³ n i ³	i k u	i k u	i k u	i k u	i ³ k u ³	i k u	k u ³ n i ³	i ³ k u ³	k o n i	i k u	i ³ k u ³	k i ³	i ⁵ k u ⁵	k u n i	i k u	i k u	i k u		i k u	k u n i	k o ³ n i ³	k u ³ n i ³	k u n i	k u ³ k i ³	k o n i	i k u	i k u	k u n i	i k u	i ³ k u ³	i k u	i k u	i k u	i k u	i ³ k u ³	i k u	i k u	i k u	i k u j	k o ³ n i ³	k u n i	i k u	i k u	i k u	i k u	k u n i	i k u	i k u	i k u	i k u	i k u	i k u	i ¹ k u ¹	i ¹ k u ³	i ¹ k u ¹	i k u	i ³ k u ³	k u n i	i ³ k u ³	i k u	k o n i	i k u	i k u	i k u	i ⁵ k u ⁵	i k u	i ³ k u ³	i k u	k u n i	i k u	i k u	i ³ k u ³	i ⁵ k u ¹	i k u	i k u	i ³ k u ³	k o n i	i ¹ k u ¹	i k u	k u ¹ n i ³	i ³ k u ³	k u ³ n i ³	i ³ k u ³	k u ⁵ n i ⁵	k u n i	k o ³ n i ³	i k u
119_aunt	ʃ i ³ ʃ i ³	s i ³ s i ³		s i ³ s i ³	ʃ ɨ ³ i ¹					ʃ i ³ ʃ i ³				ʂ i ³ ʂ i ¹	ʃ i ³ ʃ i ³			tʲ i ʃ i		t u w i a	d u ³ ʔ w i ³		ð i ³ ð i ³					s i ³ s i ³		h i ¹ h i ¹	ð i ³ ð i ³		ð i ⁵ ð i ⁵	tʲ i ⁵ x i ³	t u ʔ w e ʔ ³	ð i ⁵ ð i ⁵					ð u ð i			ʃ i ⁵ ʃ i ³	ʃ i ³ ʃ i ³		t u ³ ʔ β i ʔ ⁴						ʃ i ³ i ¹					s i ³ s i ¹			ʃ i ʃ i	ð i ð i														tʃ i ³ ʃ i ³	ð u ³ ð i ³	ð i ¹ ð i ⁵						ð i ³ ð i ¹				tʃ i ʃ i ¹							ʃ i ³ ʃ i ³	ʃ i ³ ʃ i ³			ʃ i ³ ʃ i ¹		ʃ i ¹ ʃ i ¹		ʃ i ³ ʃ i ³		ʃ i ² ʃ i ²	ʃ i ³ ʃ i ²	ʃ i ³ ʃ i ¹			
11_bone		l e ³ k e ³		j i ³ k i ³	ʒ ɨ ³ k ɨ ³					l a ³ k i ⁵			i ⁵ k i ⁵ + tʃ e ⁵ ʔ e ⁵	ʒ i ³ k i ³	i ¹ k ĩ ³			j ɨ k ɨ		k u ʔ u	k u ³⁵		l a ⁵ s a ⁵					ʒ ɨ ³ k ɨ ³		ʒ i ³ k i ⁵				j ɨ ³ k ɨ ³	k u ⁵	ʒ ɨ ¹ k ɨ ¹					i n i			i ³ k i ¹⁵	k o ³ ʔ ⁿd o ³		k u h ⁵						ʒ ɨ ³ k ɨ ³								ʒ i k i	j e k e	l a ³ s a ³														i ³ n i ³	ʒ ɨ ¹ k ɨ ¹				i k i													j ɨ ³ k ɨ ³	ʒ i ⁵ k i ¹					i ¹ k i ³ ʔ		l e ³ k e ⁵		l e ³ k e ³	i ³ k i ⁵	k i ³ + tʃ e ⁵ ʔ e ⁵			
120_basket		tʃ i ³ k i ³ + β a ¹			x i ¹ k a ³					ⁿd o ¹ ʔ o ⁵				tʃ i ¹ k a ⁵				tʲ i k a + s o ʔ o			ʃ u ² g u ⁴ t i ³		t i ¹ + j i ³ k a ¹											tʲ i ¹ k a ¹	j o ⁴	ʒ ɨ ³ k a ¹								t i ¹ k a ⁵	t i ¹ k a ⁵		tʃ u ³ k u ⁴ t i ⁴³														tʃ i k a	t e + s i j o															k u ʔ a ⁴ t a ¹											t i ³ k a ³							ⁿd o ³ ʔ o ¹				ⁿd o ¹ ʔ o ¹				t o ¹ k a ⁵				ⁿd o ¹ ʔ o ¹⁵			
