Cognate_ID,Azeri,Baraba,Bashkir,Chuvash,CodexCumanicus,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,NorthAltai,OldUyghur,Salar,SarygYugur,Shor,SouthAltai,Tatar,Tofa,Turkish,Turkmen,Tuvan,Uighur,Uzbek,Yakut
46_cutv,k æ s,k e s,k i θ,k a s,k e s,k e s,b ɯ s,k e s,k e s,k e s,k e s,k e s,k i s,k æ s,k e s,g e s,k æ s,k e s,k e s,k e s,k e s,k e s,k e s,k e s,k i s,k eˁ s,k e s,k e s,k e s,k æ s,k e s,b ɯ s
47_dayn,k y n d y z,k ø n,k ø n,k u n,k u n,k y n,k y n,g y n,k y n,k y n,k y n,k y n,k y n,k y n,k y n,g y n,k u nʲ,k y n,k y n,k y n,k u n,k ø n,k y n,k y n,k ø n,h y n,g y n,g y n,χ y n,k y n,k u n,k y n
48_deep,d æ r i n,t æ r æ ŋ,t æ r æ n,t a r ə n,t e r e ŋ,t e r e n,d i r i ŋ,d e r i n,t e r e ŋ,t e r e n,t e r e n,t e r e ŋ,t i r e ŋ,,t e r e ŋ,t e r e n,t æ r æ ŋ,t e r e n,t e r e ŋ,t e r i ŋ,t i r o ŋ,,t e r e ŋ,t e r e ŋ,t i r æ n,d e r e ŋ,d e r i n,tɕ u ŋ,t e r e ŋ,tɕ o ŋ q u r,tɕ u q u r,d i r i ŋ
49_diev,ø l,ø l,y l,v i l,o l,ø l,ø l,ø l,ø l,ø l,ø l,ø l,ø l,,ø l,ø l,ø l,ø l,ø l,ø l,u l,j u l,ø l,ø l,y l,ø l,ø l,ø l,ø l,ø l,o l,ø l
4_2plpronoun,s i z,s i l æ r,h e ð,e z i r,s i x,s i z,e n,s i z,s i z,s i z,s i z,s ĭ z d e r,s ĭ r e r,s i z,s i l e r,s i z,s ĭ l ɛ r,s i z,s l e r,s i z,s e l e r,s i l e r,s i l e r,s l e r,s e z,s ĭ l ɛ r,s i z,s i z,s i l e r,s i z,s i z l a r,e h i g i
50_digv,ɢ a z ɯ,q a s,q a ð,tɕ a v,c a s,q a z,k a s,k a z,q a z,q a z,k a z,q a z,χ a s,q a z,q a z,q a z,q a s,q a z ɯ,q a s,q a z,q a z ɯ,q a z,q a s,q a s,q a z,q a z,k a z,ɢ a z,q a z,q a z,q a z i,χ a s
51_dirty,b u l a ʃ ɯ q,,b ɯ s r a q,,s a s i,k i r l i,k i r d eː k,b u l a ʃ ɯ k,k i r l i,k i r l i,b ɯ l a ʃ ɯ q,,k ĭ r l ĭ g,,k i r,,k ĭ r l ĭ ɣ,k i r l i,k i r,k i r l i g,,k e r,k i r l i g,k i r l y,p ɯ tɕ r a q,h ĭ r l ĭ ɣ,k i r l i,k i r l i,χ i r l i g,k i r,k i r,k i r d eː χ
52_domakev,e t,e t,e ʃ l ɛ,t u,e t,j a p,o ŋ o r,e t,ʒ a s a,e t,j a s a,ʒ a s a,i t,ʃ a,ʥ a s a,e t,æ t,j a s a,ʥ a z a,k ɯ l,j a s a,j e t,e t,e t,j a s a,tɕ aˁ s a,e t,j a s a,q ɯ l,æ t,q i l,o ŋ o r
53_dogn,i t,i t,e t,j ɯ d ə,i t,k ø p e k,ɯ t,k ø p e k,i j t,i t,i t,i t,a d a j,i t,i t,i t,a d a j,i j t,i j t,ɯ t,i ʃ t,ɯ ʃ t,a d a j,i j t,e t,tɕ ɯ d ɯ ɣ,k ø p e k,i t,ɯ t,i ʃ t,i t,ɯ t
54_drinkv,i tɕ,e ʨ,e s,ĭ ɕ,i z,i tɕ,i s,i tɕ,i ʃ,i tɕ,i tɕ,ĭ ʃ,ĭ s,i tɕ,i tɕ,i tɕ,i tɕ,i ʃ,i tɕ,i tɕ,i tɕ,i tɕ,i ʃ,i tɕ,e tɕ,i ʃ,i tɕ,i tɕ,i ʃ,i tɕ,i tɕ,i s
55_dry,ɢ u r u,q a q,q o r o,t i b ĭ,q u r u,q u r u,k u r aː n a k,k u r u,q u r ɣ a q,q u r ɣ a q,k u r ɣ a k,q u r ɣ a q,χ u r u ɣ,q u rː u ɣ,q u r ɣ a q,q u r u,k eː b ĭ ɣ,q u r ɯ,k u r u ɣ,q u r u ɣ,k u r u,q u r l y ɣ,q u r u ɣ,q u r ɣ a χ,q o r ɯ,q u r ɣ a ɣ,k u r u,ɢ u r ɯ,q u r ɣ a ɣ,q u r u q,q u r u q,k u r aː n a χ
56_dust,t o z,t o s,t u ð a n,t u z a n,t o s,t o z,,t oː z,ʃ a ŋ,b u q u,t o z,ʃ a ŋ,t o z ɯ n,t u r p aː q,tɕ a ŋ,tɕ a ŋ,t o z a n,ʃ a ŋ,t o z u n,t o z,t aː r ɯ χ,tɕ a m,t o z u n,t o b r a χ,t u z a n,t oˁ p r a q,t o z,t o z a n,d oː z u n,tɕ a ŋ,tɕ a ŋ,b u o r
57_earn,ɢ u l a ɢ,q o l a q,q o l a q,χ ŏ l ɣ a,q u l a g,q u l a q,k u l g aː k,k u l a k,q u l a q,q u l a q,k u l a k,q u l a q,χ u l a χ,q u l aː q,q u l a q,q u l a q,q u l a q,q u l a q,q ɯ l a q,q u l q a q,q u l a χ,q u l a q,q u l a q,q u l a q,q o l a q,q u l a q,k u l a k,ɢ u l a q,q u l a q,q u l a q,q u l ɔ q,k u l g aː χ
58_eatv,j e,a ʃ a,a ʃ a,ɕ i,a ʃ a,a ʃ a,a h aː,i,ʒ e,a ʃ a,a s a,ʒ e,tɕ ĭ,j eː,ʥ e,a ʃ a,ʨ iː,a ʃ a,tɕ i,a ʃ a,j e,j e,tɕ iː,a ʒ a n,a ʃ a,tɕ i,j e,i j,tɕ e m n e,j i,j e,a h aː
59_edgen,ɢ ɯ r a ɢ,ts i t,s i t,χ ĭ r ĭ,s e t e,tɕ e t,k ɯ r ɯː,,ʃ e t,q ɯ j ɯ r,k ɯ r ɯ j,ʃ e t,χ ɯ r i,,tɕ e t,q ɯ r ɯ j,q ɯ r,ʃ e t,q ɯ j,q ɯ d ɯ ɣ,q ɯ r ɣ ɯ,q ɯ z ɯ ɣ,q ɯ r ɯ j,q ɯ r ɯ,tɕ i t,q ɯ d ɯ ɣ,,tɕ e t,q ɯ d ɯ ɣ,tɕ æ t,tɕ e t,k ɯ t ɯː
5_2sgpronoun,s æ n,s i n,h i n,e z ĭ,s e n,s e n,e n,s æ n,s e n,s e n,s e n,s e n,s i n,s æ n,s e n,s e n,s æ n,s i z,s e n,s e n,s e n,s e n,s e n,s e n,s i n,s e n,s e n,s e n,s e n,s æ n,s i z,e n
60_eggn,j u m u r t a,j o m ɯ r t q a,j o m o r t q a,ɕ ŏ m a r d a,j u m u r t k a,j ɯ m ɯ r t a,h ɯ m ɯː t,j ɯ m ɯ r t a,,,j u m u r t χ a,ʒ u m ɯ r t q a,n ɯ m ɯ r χ a,j u m u r q a,ʥ u m u r t q a,j ɯ m ɯ r t q a,tɕ u m u r t q a,j u m ɯ r t q a,nʲ u r t q a,j u m u r t ɣ a,j o m u r t a,o j a,n ɯ b ɯ r t q a,ʥ ɯ m ɯ r t χ a,j o m ɯ r q a,nʲ u m u r h a,j u m u r t a,j u m u r t ɢ a,tɕ uː r ɣ a,,,s ɯ m ɯː t
61_eyen,k ø z,k ø z,k y ð,k u ɕ,k ø z,k ø z,k a r a k,g ø z,k ø z,k ø z,k ø z,k ø z,χ a r a χ,k ø z,k ø z,g ø z,q a r a q,k ø z,k ø s,k ø z,k o z,k y z,q a r a q,k ø s,k y z,q a r a q,g ø z,g ø z,q a r a q,k ø z,k o z,χ a r a χ
62_fallv,d y ʃ,j ɯ ɣ a l,j ɯ ɣ ɯ l,y k,t u z,j ɯ q ɯ l,t y s,d y ʃ,ʒ ɯ ɣ ɯ l,ʥ ɯ ɣ ɯ l,j ɯ ɣ ɯ l,ʒ ɯ ɣ ɯ l,t y s,t i ʃ,ʥ ɯ ɣ ɯ l,j ɯ ɣ ɯ l,a ŋ n a l,j ɯ ɣ ɯ l,t y ʃ,t y ʃ,j ɯ χ ɯ l,t o q ɯ r a,tɕ ɯ ɣ ɯ l,t y ʃ,j ɯ ɣ ɯ l,t yˁ ʃ,d y ʃ,j ɯ q ɯ l,d y ʃ,ʒ i q i l,j i q i l,t y s
63_far,u z a ɢ,j ɯ r a q,j ɯ r a q,i n ʑ e,i r a c,u z a q,ɯ r aː k,u z a k,u z a q,u z a q,i r a χ,q a ʃ ɯ q,ɯ r a χ,h ɯ r aː q,ɯ r aː q,j ɯ r a q,ə r a q,u z a q,u z a q,j ɯ r a q,j ɯ r a χ a r,u z a q,ɯ r a q,u z a q,j ɯ r a q,ɯ r a q,u z a k,u z a q,ɯ r a q,u z a q,u z o q,ɯ r aː χ
64_fatn,j a ɣ,m a j,m a j,ɕ u,j a v,j a ɣ,h ɯ a,j aː,m a j,ʥ a w,j a v,m a j,tɕ a ɣ,j aː ɣ,m a j,m a j,tɕ a ɣ,m a j,j ɯ ɣ,j a ɣ,j a ɣ,t ø j n a χ,tɕ a ɣ,ʥ u,m a j,tɕ a ɣ,j a ɣ,j a ɣ,y s,m a j,j ɔ ɣ,s ɯ a
65_fathern,a t a,a t a,a t a,a tː e,a t a,b a b a,a g a,b o b a,a t a,a t a,a t a,æ k e,p a b a,b ɔː b a,a t a,a t a,a d a,a t a,a d a,q a ŋ,a p a,a tɕ a,a d a,a d a,a t a,a t a,b a b a,a t a,a d a,a t a,ɔ t a,a ɣ a
66_fearv,ɢ o r χ,q o r q,q u r q,χ ŏ r a,q o r q,q o r q,k u t t a n,,q o r q,q o r q,q o r q,q o r q,χ o r ɯ χ,q o r q,q o r q,q o r q,q oː r u q,q o r q,q o r u q,q o r q,χ o r ɣ a,q o r q,q o r u q,q o r χ ɯ,q u r q u,q oˁ r t,k o r k,ɢ o r q,q o r t,q o r q,q o r q,k u t t a n
67_feathern,t y k,,,t ø̆ k,j u ŋ,q a n a t,t yː,t y j,,t y k,t i k,,tɕ y g,,,t y k,t y k,,t y k,t y s i,m i m i l u χ,,tɕ y g,q a n a t,,t y k,t y j,j e l e k,tɕ y g,,,t yː
68_femaleofananimaln,d i ʃ i,,i n æ,a m a,t u s i,ɯ r ɣ a tɕ ɯ,t ɯ h ɯ,d i ʃ i,u r ɣ a ʃ ɯ,t i ʃ i,ɯ r ɣ a tɕ ɯ,u r ɣ a ʃ ɯ,t ĭ z ĭ,t i ʃ i,u r ɣ aː tɕ ɯ,t i ʃ i,t ĭ z ĭ,u r ɣ a ʃ ɯ,t i ʒ i,t i ʃ i,t i tɕ i,t i s e,t i ʒ i,t ɯ ʃ ɯ,t e ʃ e,eˁ p ʃ ĭ,d i ʃ i,u r q a tɕ ɯ,d i ʒ i,tɕ i ʃ i,u r ɣ ɔ tɕ i,t ɯ h ɯ
69_fightv,v u r u ʃ,s o ɣ ɯ ʃ,h u ɣ ɯ ʃ,ɕ a b ə ɕ,,k ø t e k l e ʃ,ø l ø r y s,d o k u ʃ,t ø b e l e s,ʥ a ɣ a l a ʃ,t u t u ʃ,t ø b e l e s,u r u s,v u r u ʃ,t ø b ø l ø ʃ,t ø b e l e ʃ,s oː ɣ u s,s o ɣ ɯ s,s o ɣ ɯ ʃ,s y ŋ y ʃ,v u r u ʃ,p e r ɯ s,u r u ʃ,s o ɣ u ʃ,s u ɣ ɯ ʃ,s oˁ q ɯ ʃ,d ø v y ʃ,u r u ʃ,s o d aː l a ʃ,s o q u ʃ,u r i ʃ,o χ s u s
6_3sgpronoun,o,o l,u l,v ŏ l,o l,o,g i n i,o,o l,o l,o l,o l,o l,oː,a l,o l,o l,o l,o l,o l,v u,q o l,o l,o l,u l,o l,o,o l,o l,u,u,k i n i
70_findv,t a p,t a p,t a p,t u p,t a p,t a p,b u l,b u l,t a p,t a b,t a p,t a p,t a p,b u l,t a p,t a p,t a p,t a p,t a p,t a p,t a p f,t a p,t a p,t a p,t a p,t ɯˁ p,b u l,t a p,t ɯ p,t a p,t ɔ p,b u l
71_firen,o d,o t,u t,v u t,o t,,u o t,,o t,o t,o t,o t,o t,h uː t,o t,o t,o t,o t,o t,o t,o t,o t,o t,o t,u t,o t,,oː t,o t,o t,,u o t
72_firewoodn,o d u n,o t ɯ n,u t ɯ n,v u d ə,o d i m,o d u n,m a s t a r,o d u n,o t ɯ n,o t u n,o t u n,o t ɯ n,o d ɯ ŋ,h uː o t u n,o t u n,a ɣ a ʨ,oː d u ŋ,o t ɯ n,,o t u ŋ,oː t ɯ n,o t u n,o d u ŋ,o d ɯ n,u t ɯ n,n e ʃ,o d u n,o d u n,ɯ j a ʃ,o t u n,o t i n,m a s
73_fishn,b a l ɯ ɢ,b a l ɯ q,b a l ɯ q,p u l ə,b a l i k,b a l ɯ q,b a l ɯ k,b a l ɯ k,b a l ɯ q,tɕ a b a q,b a l ɯ k,b a l ɯ q,p a l ɯ χ,,b a l ɯ q,b a l ɯ q,p aː l ə q,b a l ɯ q,b a l ɯ q,b a l ɯ q,b a l u χ,,p a l ɯ q,b a l ɯ q,b a l ɯ q,b a l ɯ q,b a l ɯ q,b a l ɯ q,b a l ɯ q,b e l i q,b a l i q,b a l ɯ k
74_five,b e ʃ,p e ʃ,b e ʃ,p i l ĭ k,b e s,b e ʃ,b i e s,b e ʃ,b e s,b e ʃ,b e ʃ,b e s,p i s,b iː ʃ,b e ʃ,b e ʃ,p æ s,b e s,p e ʃ,b e ʃ,p e ʃ,p i s,p e ʃ,b e ʃ,b i ʃ,b e ʃ,b e ʃ,b æ ʃ,b e ʃ,b æ ʃ,b e ʃ,b i e s
75_flowv,a χ,a q,a q,j u χ,a g,a q,t e h i n,a k,a q,a q,a k,a q,a q,v a r,a q,a q,a q,a q,a q,a q,f y r,a q,a q,a q,a q,aˁ q,a k,a q,a q,a q,ɔ q,s yː r
76_flowern,tɕ i tɕ æ k,tɕ i tɕ æ k,s æ s k æ,,tɕ i tɕ e k,tɕ i tɕ e k,o t,tɕ i tɕ e k,,,tɕ e tɕ æ g i,,tɕ a χ a j a χ,,,tɕ e tɕ e k,,ʃ e ʃ e k e j,ʨ e ʥ e k,tɕ e tɕ e k,tɕ i tɕ e χ,tɕ y tɕ y g,tɕ a q k i j e k,tɕ e tɕ e k,tɕ æ tɕ æ k,a q q a ʃ,tɕ i tɕ e k,,tɕ e tɕ e k,tɕ e tɕ æ k,,
77_flyn,,tɕ e r g æ j,s e b e n,ʃ ə n a,tɕ i b i n,tɕ i b i n,h a k s ɯ r g a,s i n e k,ʃ ɯ b ɯ n,tɕ i b i n,ts i b i n,ʃ ɯ b ɯ n,s e e k,g u d ɣ u,tɕ ɯ m ɯ n,ʥ i b i n,,ʃ ɯ b ɯ n,k ø g e n,q o d ɣ u,p o h tɕ y i n,tɕ i v i n,,tɕ ɯ m ɯ n,tɕ e b e n,s e e k,s i n e k,s i ŋ e k,s e e k,tɕ i v i n,,s a χ s ɯ r ɣ a
78_flyv,u tɕ,o ʨ,o s,v ø̆ ɕ,u tɕ,u tɕ,k ø t,u tɕ,u ʃ,u tɕ,u tɕ,u ʃ,u tɕ u χ,u tɕ,u tɕ,u tɕ,u tɕ,u ʃ,u ʨ,u tɕ,u tɕ,u ʃ,u tɕ u q,u tɕ,o tɕ,uˁ ʃ,u tɕ,u tɕ,u ʃ,u tɕ,u tɕ,k ø t
79_foamn,k ø p y k,,k y b e k,k ŏ b ŏ k,k o b e l e k,k ø p y k,,k ø p y k,k ø b i k,k ø m y k,k ø b y k,k ø b ĭ k,k ø b ĭ k,,k ø b y k,g ø b y k,k oː βʲ y k,k ø b i k,k ø b y k,,,k i v e k,k ø b y k,k ø b y k,k y b e k,k øˁ p y k,k ø p y k,k ø p y r,,k ø p y k,k o p i k,
7_above,y s t y n d æ,y s t,ø s t ø n æ n,ɕ i j ĭ n,ø z æ,y s t,y r d y n e n,y s t y n d æ,y s t i n d e,b a ʃ ɯ n d a,y s t,y s t ĭ n e n,y s t y n d e,,y s t y n d ø,y s t y n d e,,y s t i n d e,y s t,y z,i ʃ t,j y z e,y s t y n d e,y s t y l e,ø s t e nː æ n,yˁ s t y n d e,y z e r i n d e,y ʃ t y n d e,y ʃ t,y s t i d æ,u s t i d a,y r d y n e n
80_fogn,d u m a n,t o m a n,t o m a n,t ø̆ t r e,t u m a n,t u m a n,t u m a n,d u m a n,d u m a n,t u b a n,t u m a n,t u m a n,t u b a n,,t u m a n,t u m a n,,t u m a n,t u b a n,t u m a n,t u m a n,m a n a n,t u b a n,t u m a n,t o m a n,t u m a n,s i s,d u m a n,t u m a n,t u m a n,t u m a n,t u m a n
81_foreheadn,a l ɯ n,,,ɕ a m g a,a l n i,,h yː s,a nː ɯ,,,,,χ a m a χ,h aː n l ɯ,tɕ e k e,,q a m a q,,q a b a q,a l ɯ n,m e n z i,a l ɯ n,q a b a q,,,d o s t a q,a l ɯ n,a l ɯ n,χ a v a q,,,s yː s
82_four,d ø r d,t ø r t,d y r t,t ŏ v a d ə,t o r t,d ø r t,t y ø r t,d ø r t,t ø r t,t ø r t,d ø r t,t ø r t,t ø r t,t øː r t,t ø r t,d ø r t,t ø r t,d ø r t,t ø r t,t ø r t,,d y r t,t ø r t,t ø r t,d y r t,d ø r t,d ø r t,d ø r t,d ø r t,t ø r t,t o r t,t y ø r t
83_freezev,d o n,p u s t a n,t u ŋ,ʃ ə n,,b u z l a,b uː h u r,d o n,m u z l a,b u z l a,b u z l a,m u z + q a t,t o ŋ,b uː z aː q + v aː,t o ŋ,b u z l a,t o ŋ,b u z l a,t o ŋ d ɯ r,t o ŋ,t o ŋ,t o ŋ,t o ŋ,t o ŋ,t u ŋ,d o ŋ,d o n,d o ŋ,d o ŋ,t o ŋ,m u z l a,t o ŋ
84_fruitn,,j e m i ʃ,j e m e ʃ,ɕ i m ĭ ɕ,j e m i s,,,j e m i ʃ,ʒ e m i s,k ø g e t,j e m i s,ʒ e m ĭ s,,,ʥ e m i ʃ,j e m i ʃ,,j e m i s,,j e m i ʃ,,ʥ i m i s,,,ʥ i m e ʃ,,,i j m i ʃ,tɕ i m i s,j i m i ʃ,,
85_full,d o l u,t o l,t u l ɯ,t u l l i,t u l u,t o l u,t o l o r u,d o l u,t o l ɣ a n,t o l u,t o l u,t o l ɯ,t o l d ɯ r a,t uː l a,t o l t u r a,t o l u,t o l d ə r a,t o l ɯ,t o l t ɯ r a,t o l u,t o l u,t o l o,t o l d u r a,t o l o,t u l ɯ,d o l u,d o l u,d o l ɯ,d o l u,t o l u q,t o l a,t o l o r u
86_givev,v e r,b e r,b i r,p a r,b e r,b e r,b i e r,v e r,b e r,b e r,b e r,b e r,p i r,v i e r,b e r,b e r,p æ r,b e r,p e r,b e r,p e r,p e r,p e r,b e r,b i r,b e r,v e r,b e r,b e r,b æ r,b e r,b i e r
87_gov,gʲ e t,b a r,b a r,p ɯ r,b a r,b a r,b a r,g i t,b a r,b a r,b a r,b a r,p a r,v a r,b a r,b a r,p a r,b a r,p a r,b a r,b a r,p a r,p a r,b a r,b a r,b a r,g i t,b a r,b a r,b a r,b ɔ r,b a r
88_good,j a χ ʃ ɯ,j a q ʃ ɯ,j a q ʃ ɯ,,j a c s i,j a χ ʃ ɯ,y tɕ y g e j,i j i,ʒ a q s ɯ,a ʃ χ ɯ,j a χ ʃ ɯ,ʒ a q s ɯ,tɕ a χ s ɯ,,ʥ a q ʃ ɯ,j a χ ʃ ɯ,tɕ a q s ə,j a χ ʃ ɯ,ʥ a q ʃ ɯ,e d g y,j a χ ʃ i,j a χ ʃ ɯ,tɕ a q ʃ ɯ,ʥ a χ ʃ ɯ,j a χ ʃ ɯ,eˁ kː ĭ,i j i,j a ɢ ʃ ɯ,e k i,j a χ ʃ ɯ,j a χ ʃ i,y tɕ y g e j
89_graspv,t u t,t o t,t o t,t ɯ t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,u s t a,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t u t,t o t,t uˁ t,t u t,t u t,t u t,t u t,t u t,t u t
8_antn,ɢ a r ɯ ʃ ɢ a,,q ɯ r m ɯ θ q a,,,q ɯ m ɯ r s q a,,k a r ɯ m ʥ a,q u m ɯ r s q a,q u m u r s χ a,k u m u r s k a,q u m ɯ r s q a,χ ɯ m ɯ s χ a,g u m u r ɣ aː tɕ,q u m u r s q a,χ o m u r s ɣ a,q u m u r s q a,q u m ɯ r s q a,tɕ u b a l a,q u m u r s ɣ a,q u m u s q a,,q ɯ m ɯ s q a ʃ,tɕ ɯ m a l ɯ,q ɯ r m ɯ s q a,h ɯ m ɯ s q a,k a r ɯ n ʥ a,ɢ a r ɯ n ʥ a,q ɯ m ɯ s q a j a q,tɕ ø m y l i,tɕ u m ɔ l i,k ɯ m ɯ r d a ɣ a s
90_grassn,o t,y l ɛ ŋ,y l æ n,k u r ə k,k u k e l,ø l e n,o t,o t,ʃ ø p,,o t,ʃ ø p,o t,oː t,tɕ ø p,o t,o t,ø l e n,ø l ø ŋ,,tɕ ø p,o h t,ø l e ŋ,ø l ø ŋ,y l æ n,k ø k,o t,o t,oˁ t,o t,o t,o t
91_green,j a ʃ ɯ l,j i ʃ i l,j æ ʃ e l,s i m ĭ s,j a s,j e ʃ i l,k y ø k,j e ʃ i l,k ø k,ʥ a ʃ ɯ l,j e s i l,ʒ a s ɯ l,k ø k,k y ø k,ʥ a ʃ ɯ l,j a ʃ ɯ l,k o k,j a s ɯ l,tɕ a ʒ ɯ l,j a ʃ ɯ l,j aː ʃ ɯ l,j a s ɯ l,tɕ a ʒ ɯ l,ʥ a ʒ ɯ l,j æ ʃ e l,k ø k,j e ʃ i l,j a ʃ ɯ l,,j e ʃ i l,j a ʃ i l,k y ø χ
92_growv,b ø j y,ø s,y θ,y s,o s,ø s,yː n,b yː,ø s,ø s,ø s,ø s,ø s,b i d i,ø s,ø s,ø s,ø s,øː s,,tɕ a ŋ n a,y n,ø s,ø s,y s,øˁ s,b y j y,ø s,ø s,ø s,o s,yː n
93_gutsn,b a ɣ ɯ r s a ɢ,æ tɕ æ w,e s æ k,p ɯ r ʒ ə,i tɕ a g,i tɕ e k,,i tɕ,i ʃ e k,i ʨ e g i,i ts i g i,ĭ ʃ e k,ĭ tɕ e g e,,i tɕ e g i,i tɕ e k,i ʥ iː,i ʃ e k,i ʥ e g e,,p a ɣ s u χ,e tɕ i k ɯ,i ʃ t e,i tɕ e g e,e tɕ æ k,b aː r s ɯ q,b a ɣ ɯ r s a k,i tɕ e g e,i ʒ i n,y tɕ æ j,i tɕ a k,o h o ɣ o s
94_hairn,s a tɕ,ts a ts,s æ s,ɕ y ɕ,x a c,s a tɕ,a s,s a tɕ,ʃ a ʃ,tɕ a tɕ,s a tɕ,ʃ a ʃ,s a s,s a tɕ,tɕ a tɕ,tɕ a tɕ,tɕ a tɕ,ʃ a ʃ,tɕ a tɕ,s a tɕ,s a tɕ,s ɛ ʥ,ʃ a ʃ,tɕ a tɕ,tɕ æ tɕ,ʨ eˁ ʃ,s a tɕ,s a tɕ,d y k,tɕ a tɕ,s ɔ tɕ,a s
95_hard,b æ r k,q a tː ɯ,q a t ɯ,χ ɯ d ə,q a t i,q a tː ɯ,k ɯ t aː n a k,tɕ e t i n,q a tː ɯ,q a t ɯ,q a t ɯ,q a tː ɯ,χ a t ɯ ɣ,,q a t uː,q a tː ɯ,q aː d ə ɣ,q a t ɯ,q a d u,q a t ɯ ɣ,χ ɯ tː i,q a t ɯ ɣ,q a d ɯ ɣ,q a t u,q a t ɯ,q aˁ t ɯ ɣ,k a t ɯ,ɢ a t ɯ,q a d ɯ ɣ,q a tː i q,q a tː i q,k ɯ t aː n a χ
96_headn,b a ʃ,p a ʃ,b a ʃ,p u ɕ,b a s,b a ʃ,b a s,b a ʃ,,b a ʃ,b a ʃ,b a s,p a s,b aː ʃ,b a ʃ,b a ʃ,p a s,b a s,b a ʃ,b a ʃ,p a ʃ,p a ʃ,p a ʃ,b a ʃ,b a ʃ,b aˁ ʃ,b a ʃ,,b a ʃ,b a ʃ,b ɔ ʃ,b a s
97_hearv,e ʃ i t,i ʃ i t,i ʃ e t,i l t,e s i t,e ʃ i t,i h i t,i ʃ i t,e s i t,e ʃ i t,e s i t,e s ĭ t,i s,i ʃ y t,u q,e ʃ i t,æ s,e s i t,u q,e ʃ i t,i ʃ t i,t i nː a,u q,u q,i ʃ e t,d ɯ ŋ n a,i ʃ i t,e ʃ i t,d ɯ ŋ n a,i ʃ i t,e ʃ i t,i h i t
98_heartn,y r æ k,j ø r ɛ k,j ø r æ k,tɕ ĭ r e,,j y r e k,h y r e k,y r e k,ʒ y r e k,ʥ y r e k,j i r e k,ʒ y r e k,tɕ y r e k,j i r æ k,ʥ y r e k,j y r e k,tɕ y r e k,j y r e k,tɕ y r e k,j y r e k,j i r i g,j y r e k,tɕ y r e k,ʥ y r e k,j ø r æ k,tɕ y r e k,,j y r e k,tɕ y r e k,ʒ y r æ k,j u r a k,s y r e χ
99_heavy,a ɣ ɯ r,a w ɯ r,a w ɯ r,j ɯ v ə r,a g e r,a ɣ ɯ r,ɯ a r a k a n,aː r,a w ɯ r,a w u r,a v u r,a w ɯ r,aː r,a ɣ i r,oː r,a w u r,aː r,a w ɯ r,aː r,a ɣ ɯ r,a ɣ ɯ r,a ɣ ɯ r,aː r,uː r,a w ɯ r,aː r,a ɣ ɯ r,a ɣ ɯ r,aː r,e ɣ i r,ɔ ɣ i r,ɯ a r a χ a n
9_armhandn,ɢ o l,q o l,q u l,χ u l,e l,q o l,i l iː,k o l,q o l,q o l,k o l,q o l,χ o l,q o l,q o l,q o l,q o l,q o l,q o l,q o l,q o l,q o l,q o l,q o l,q u l,q o l,k o l,ɢ o l,χ o l,q o l,q o l,i l iː
