Cognate_ID	Anuta	EastFutuna	EastUvea	Emae	FutunaAniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	MeleFila	Niuean	NorthMarquesan	Nukeria	Penrhyn	Polynesian	Pukapuka	Raivavae	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Rurutu	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	VaeakauTaumako
71_178_that	e + n a				t e + n a	n a				t eː + n aː	n e + r a	i a	t e + ʔ aː	n aː			t e i a		t eː i a			i a		l e + n a			n a	k o + e + n a		t eː + n aː	t e + n a
723_156_thin														t u a + r i k i + r i k i											t u a + l i k i					t u a + n i k i	
724_5_towalk																ʔ a l u												ʔ a l u			
72_62_thatchroof		ʔ a t o	ʔ a t o			a k o		ʔ a k o	a t o			a t o	h a t u		a t o		a t o		a t o	a t o	a t o	ʔ a t o		a t o	a t o			ʔ a t o	a t o	l a u	
737_119_earthsoil										o n e + o n e										o n e											t u a + o n e
73_187_they		l o + t o u		r a + t o u		l aː + k o u		l aː + k o u	r aː + u a	r aː + t o u	r a + t o u		ʔ a + t o u	l aː + t o u		l a + t o u	l aː + t o u	ɢ aː + t o u	r aː + t o u		r aː + t o u	k i + ⁿg a + t o u	r aː + t o u	l aː + t o u	l aː + t o u	r aː + t o u	r a + t o u	k i + n a u + t o l u			lʰ a + t o u
747_57_husband	m a t u a			m a t u a																		m a t u ʔ a									t e + m a t u a
748_135_lightning	k a + k a m o																														k h e m o
749_149_red										f e r o										h e r o + h e r o											
74_156_thin	m a + n i p i	m a + n i f i	m a + n i f i	m a + n i f i + n i f i	m a + f i n + f i n i			m a + ŋ i h i			m a + n f i + n i f i					m a + n i f i + n i f i						m aː + n i h i		m a + n i f i			n i f i	m a + n i f i			m a + n i h i
751_50_todream	m i t i		m i s i		m i ʃ i		m i d i	m i k i				m i t i				m i t i	m i t i					m i t i		m i t i			m i t i	m i s i			m i h i
752_123_toflow																	j e k e		h e + h e k e												
754_92_toopenuncover													p e + p e u																h e h e u		
757_131_cloud							k o r o + r a ŋ i														t u m u + r a ŋ i										
759_10_dirty					p a k u						p a k u						p a k u + o ŋ e a														p a k u
75_177_this	i e + n i	l e i + n e i	e + n i	r e + n i		n e i								n e i		e + n i	eː + n e i		n e i	n e i				l e + n e i			n e i	k o + e + n i		n e i	n e
761_129_moon	m aː + i n a	m aː + s i n a	m aː + h i n a	m a + s i n a		m a + h i n a	m aː + h i n a		m a + ʔ i n a			m a + h i n a	m e ʔ a m a				m a + i n a			m a + h i n a		m aː + s i n a		m aː + s i n a				m aː + h i n a	h i n a	m aː + l a m a	
763_134_thunder	m a n a	m a n a	m a n a													m a n a						m a n a			m a n a		m a n a	m a n a		m a n a	
76_183_thou	k o e	k o e	k o e	a k u e	k o e	ʔ o e	g o e	ʔ o e	k o e	k o e	a k o e	k o e	ʔ o e	k o e	k o e	k o e	k o e	ʔ o e	k o e	k o u	k o e	k o e	ʔ o e	ʔ o e	k o e	ʔ o e	k o e	k o e	k o e	k e	k o e
772_140_dry	p a k u + p a k u							p a u + p a ʔ u						p a k u + p a k u										p a ʔ u + p a ʔ u							
776_34_tocry						u w eː							u e																		
777_94_tothrow												v e l o								v e r o											
778_141_wet	p a r a + p a r a		p a l a + p a l a											p a r a																p a l a	
77_41_tobite	k a t i						k a t i	e k i	e t i		k e + tʃ i a	e t i			k a t i		k a t i		k a + k a t i		e t i		p a + ʔ a t i	ʔ a t i			k a t i		k a t i		
782_166_correcttrue																							ʔ aː f a r o			ʔ aː f a r o					
783_82_dullblunt								p u ŋ u						m a t a + p uː + p uː						p u n i					m a t a + p uː						
784_157_thick																		m e ʔ u + m e ʔ u								m e ʔ u + m e ʔ u					
785_185_we	t o u	t o u	t o u																								t o u				
78_28_tobreathe	m aː n a v a	m aː n a v a	m aː n a v a	m a n a β a	m a n a v a		m a n a w a	m aː n a v a				m a n a v a	m e n a v a	m aː n a v a		m aː n a w a			m aː n a v a			m a n a b a		m aː n a v a	m aː n a v a		m aː n a v a	m aː n a v a	m a n a v a		m a n a v a
79_38_tochew			m a + m a		m a + m a	m a + m a			ʔ a m a + m a					m aː + m aː		m a + m a				m a + m a				m a + m a	m aː + m aː			m a + m a		m a + m a	m a i a
7_202_six	o n o	o n o	o n o	o n o		ʔ e + o n o		o ŋ o	o n o	o n o	e + o n o	o n o	o n o	o n o	o n o		o n o	o n o	o n o	o n o	o n o	o n o	o n o	o n o	o n o	o n o	o n o	o n o			o n o
805_207_twenty									t a k a u			t e k a u	t e k a u													t a ʔ a u		t e k a u		t e k a u	
806_198_two																		p i t i					p i t i			p i t i					
807_23_blood	t o t o	t o t o	t o t o	t o t o	t o t o	k o k o	d o d o	k o k o	t o t o	t o t o	a + t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o	t o t o		t o t o	t o t o	t o t o	t o t o	t o t o	t o t o
808_45_eye													k o r o h i						k a n o h i		k a n o ʔ i										
809_59_mother						m a k u a + h i n e						m a t u a + f i f i n a					m a t u a + w a w i n e	m e t u a + v a h i n e	m a t u a + v a h i n e	m a t u ʔ a			m e t u a + v a ʔ i n e			m e t u a + v a h i n e			m e t u a + v a h i n e		
80_85_tochoose		f i l i	f i l i				h i l i	h i l i		f i r i		f i + f i l i			h i r i	f i l i	w i l i				ʔ i r i	h i ⁿg i		f i l i + f i l i	h i l i		f i r i	f i l i		f i l i	h i l i + h i l i + a
810_161_shyashamed		l u + m a	l u + m a																												
811_120_stone		m a k a	m a k a	m a k a								m a k a				m a k a				m a ʔ e a				m a ʔ a				m a k a			
812_84_toplant	t oː	t oː	t oː							t oː		t oː		t o k i		t oː	p o k i							t oː	t oː		t oː	t oː			t o k i + a
813_80_tosplit	p a i	f a k a + p a i s i		t a + f a i a	t a + p a s i	w aː h i		v a h i		w aː + w aː h i	t a + p a s i a					f a s i	v a + v a j i		v aː h i		t a + p a ʔ i		v aː + v aː ʔ i		v a e	v aː h i		f a h i	t a + p a h i		
815_26_hair		l a u + u l u	l a u + u l u		r a u + r u	l a u + o h o		l a u + l u	r a u + o ʔ o		r o u + r u	l a u + u l u	ʔ o u + o h o	r a u r u		l a u + ʔ u l u	l a u + u l u		r a u + r u		r a u + r u		r o u + r u	l a u + u l u	l a u + l u	r o u + r u	r a u + u r u	l o u + ʔ u l u	r oː + u r u		l a u l u
816_4_legfoot								k a p u a e													t a + p u a e				t a + p u a e						
81_7_tocome			a ʔ u	n u + m a i	ʰm a i	m a i		h aː + m a i		h a e r e + m a i	f e n + m a i		h e ʔ e + m a i	oː + m a i		f a n o + m a i	l o l o + m a i	h a e ɢ e + m a i	n a u + m a i			a ʔ u	ʔ a e r e + m a i	oː + m a i	h a l e + m a i	h a e r e + m a i		oː + m a i	m a i	m a i	
82_34_tocry	t a ŋ i	t a ŋ i	t a ŋ i	t a ŋ i	t a g i	k a n i	d a ŋ i	k a ŋ i		t a ŋ i		t a g i	t a n i	t a n i	t a ŋ i		t a + t a ŋ i		t a + t a ŋ i	t a ŋ i	t a ŋ i	t a ŋ i		t a ŋ i	t a n i	t a ʔ i	t a ŋ i	t a ŋ i	t a ŋ i	t a g i	t a ŋ i
832_197_one												t a h a				t a h a												t a h a			
833_153_big											m o t u a										ʔ a k a + m a t uː										
834_18_breast														h a t a + h a t a																	h a t a + h a t a
836_162_old								m u a																	m u a						
838_29_tosniffsmell	n a + n a m u				n a m u i a																							n aː m u ʔ i			n a m u
83_78_tocuthack				t e i a					t a r a i	t aː	t e i a	t a l a i	t a ʔ a i		t a r a i					t a r a i	t a r a i										
845_154_short	n o u + n o u																											n o u + n o u			
846_92_toopenuncover																		ʔ i ɢ i t i					ʔ i r i t i								
84_75_todiebedead	m a t e	m a t e	m a t e	m a t e	m a t e	m a k e	m a d e	m a k e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e	m a t e		m a t e	m a t e	m a t e	m a t e	m a t e
85_90_todig	k e r i		k e l i	k e r i + a	k e r i	ʔ e l i	g e l i	ʔ e l i	k e r i	k e r i	k e r i a	k e l i	k e ʔ i	k e r i	k e r i	k e l i	t o l o		k e r u	k e r i	k e r i	k e ⁿg i	ʔ i r i	ʔ e l i	k e l i	ʔ e r u	k e r i	k e l i	k e r i	k o l i	k e l i + a
861_18_breast																	a l o + a l o		a l o												
863_179_near																						h i + t a i + a k i									l e u e + tʰ a k i
865_91_tobuy					t a k a + m a t a																									t a + t a	
866_196_tocount																			t aː l e		t aː r eː										
867_64_tosay									k i										k i	k iː											
86_40_todrink	i n u	i n u	i n u	β i n u	i n u	i n u	i n u	u ŋ u	i n u	i n u	u n u	i n u	i n u	i n u	i n u	i n u	i n u	i n u	i n u	u n u	i n u	m i a	u n u	i n u	u n u	i n u	i n u	i n u	i n u	i n u	i n u + m i a
876_179_near				f e + f e t a i																t u p u + a k i											
87_37_toeat	k a i	k a i	k a i	k a i + k a i	k e i n a	ʔ a i	g a i	ʔ a i	k a i	k a i	k a i	k a i	ʔ a i	k a i	k a i	k a i	k a i + k a i	ʔ a m u	k a i + k a i	k a i	k a i + ŋ a	k a i	ʔ a i	ʔ a i	k a i	ʔ a m u	k a i	k a i	k a i	k a i	k a i
881_7_tocome	a u	ʔ a u							a ʔ u			a u a					j a u							s a u			a u	h a ʔ u		h a u	a u
882_95_tofall		s i ŋ a	h i ŋ a				h i ŋ a	s i ŋ a					h i n a		s i ŋ a		j iː + j i ŋ a			h i ŋ a	ʔ i ŋ a				s i n a		s i ŋ a		h i ŋ a		
88_22_tofear	m a t a k u	m a t a k u	m a t a k u	m a t a k u	m a t a k u	m a k a ʔ u	m a d a g u	m a k a ʔ u	m a t a k u	m a t a k u	m a t a k u	m a t a k u	h a ʔ a + m e t a ʔ u	m a t a k u	m a t a k u	m a t a k u	m aː t a t a k u		m aː t a t a k u	m a t a k u	m a t a k u	m a t a k u	m a t a ʔ u	m a t a ʔ u	m a t a k u		m a t a k u		m a t a k u	m a t a k u	m a tʰ a k u
893_179_near		o f i																										o f i			
89_86_togrow	t u p u		t u p u		t u p u	k u p u		k i p u	t u p u	t u p u		t u p u	t u p u	t i p u	t u p u	t u p u	t u p u	t u p u		t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	t u p u	tʰ u p u
8_199_three	t o r u	t o l u	t o l u	t o r u	t o r u	k o l u	d o l u	k o l u	t o r u	t o r u	e + t o r u	t o l u	t o ʔ u	t o r u	t o r u	t o l u	t o l u	t o ɢ u	t o r u	t o r u	t o r u	t o ⁿg u	t o r u	e + t o l u	t o l u	t o r u	t o r u	t o l u	t o r u	t o l u	t o l u
90_44_tohear	r o ŋ o	l o ŋ o	l o ŋ o	f a + n o ŋ o	r a ŋ o n a	h o ʔ o + l o n o	l o ŋ o	l o ŋ o	ʔ a k a + r o ŋ o	r o ŋ o	r o ŋ o + n a	f aː + n o ŋ o	ʔ o n o	r o n o	r o ŋ o	r o ŋ o	l a ŋ o + n a	h a ʔ a + ɢ o ʔ o	l a ŋ o + n a	ŋ a r o ʔ a	r o ŋ o	ⁿg o ŋ o	ʔ iː r o ʔ a + r o ʔ a	f a ʔ a + l o ŋ o	l o n o	f a ʔ a + r o ʔ o	r o g o	f e + n o ŋ o	r o ŋ o	l o g o	l o ŋ o
910_29_tosniffsmell														h u n u								p u + ʔ i a			s u n u						
911_142_heavy	m a + m a f a	m a + m a f a	m a + m a f a	m a + m a f a	m a f a	k a u + m a h a	m a h a	m a h a	t e i + m a h a	t a i + m a h a	m a f a	m a + m a f a		t a e + n a h a	t a i + m a h a	m a + m a f a	t a e + w a n a	t o i + m a h a	t a i + m a h a		t e i + m a ʔ a	m a + m a h a	t i a ʔ a	m a + m a f a	m m a h a	t o i + a h a	m a f a	m a + m a f a		m a + m a f a	m a h a
917_131_cloud								p uː + l e h u																	l e h u + n a						
918_46_tosee		t i o	s i o																									s i o			
919_122_water																		p a p e + m aː ʔ a ɢ o								p a p e					
91_171_tohide	m u n i	m u	m u n i		ʰm u n i	h uː n aː		m u ŋ i	p u + p u n i	h u n a				h a k a + m m u n i		f u n i		t aː + p o n i + p o n i	p u n i + p u n i		p i + p i n i	m u + m u n i	ʔ u n a			t aː + p u n i	f u n a		t aː + h u n a	f uː	m u n i
927_162_old				t u a i			t u a i	u k u a i			t u a i	t u a i				t u a i				t u a i				t u a i							
92_20_toknowbeknowledgeable																					m aː + t a u								m aː + t a u		
930_141_wet		v i k u + v i k u																										v i k u			
931_159_wide					ʰl a f a		b a l a h a	l a h a							r a h a + r a h a		l a p a + l a p a								l l a h a		l a f a + l a f a		r a h a		
935_82_dullblunt		m a t a + t u k a																						m a t a + t u p a							
93_76_tolivebealive	m a + u r i	m a ʔ u l i	m a ʔ u l i	m a u r i	m o u r i						m o u r i										m a u r i	m a ʔ u ⁿg i		m a u i				m o ʔ u i			m a u l i
941_30_mouth								p u ʔ u						p u k u a											p u k u a						
945_205_nine	i v a	i v a	h i v a	s i β a	i v a	i w a	h i w a	s i v o	i v a	i w a	s i w a	h i v a	i v a	s i v a	i v a		i v a	i v a		i v a	i v a	i b a	i v a	i v a	s i v o	i v a	s i v a	h i v a	i v a	i v a	i v a
946_206_ten	a ŋ a + p u r u	a ŋ a + f u l u	h o ŋ o + f u l u	ŋ a + f u r u	a g a + f u r u	a n a + h u l u	m a t a ŋ a + h o r u	s a ŋ a + h u l u	r o ŋ o + ʔ u r u	h a ŋ a + h u r u	s i ŋ o + f u r u	h o ŋ o + f u l u	ʔ o k o + h u ʔ u	h a n a + h u r u	ŋ a + h u r u		l a u + ŋ a + u l u	ʔ a + h u ɢ u		a ŋ a + h u r u	ŋ a + ʔ u r u	a ŋ a + h u ⁿg u	ʔ a + ʔ u r u	s e + f u l u		ʔ a + h u r u	a ŋ a + f u r u	h o ŋ o + f u l u	ŋ a + h u r u	g a + f u l u	d u m aː
947_207_twenty		k a u + l u a				i w a k aː + l u a											l a u + l u a														g a t o a e + l u a
948_173_at		t e ʔ i	t e i							h e i											t e i								t e i		
949_147_black						ʔ e l e + ʔ e l e			k e r e + k e r e									ʔ e ɢ e + ʔ e ɢ e	k e r e + k e r e	k e r e + k e r e	k e r e		ʔ e r e + ʔ e r e			ʔ e r e + ʔ e r e			k e r e		
94_92_toopenuncover						w e k e								h u k e			j u + j u k e					h u k e		s u + s u ʔ e						h u e	h u k e a
950_98_egg	p u a i	f u a		f u a + m o a		h u a		h u a		h u a + m a n u				h u a	h u a		w u a + m o a				u a	h u a	ʔ u a	f u aː + m o a			f u e i	f o ʔ i + m a n u		f u a	
951_45_eye								m a k a																	k a l e						
952_60_father															p aː				p aː p aː		p aː p aː		p aː p aː			p aː p aː					
953_99_feather			p a l aː	ᵐb a l a				p a l aː				p a l aː		p a r aː								p a l a			p a l aː						
954_184_heshe																	o n a	ʔ oː + n a					ʔ oː + n a			ʔ oː + n a					n a
955_193_if										m e			m e	k i + m eː			m eː				m e									m e + h e + m e a	
956_174_ininside	i + r o t o	l o t o		i + r o t o		l o k o	l o d o	l o k o	r o t o	i + r o t o	i + r o t o	l o t o	ʔ o t o	i + r o t o		l o t o	l o t o	ɢ o t o	r o t o	r o t o	r o t o	ⁿg o t o	r o t o	l o t o	i + l o t o	i + r o t o	r o t o	ʔ i + l o t o	r o t o	l o t o	
957_59_mother																			m aː m aː		m aː m aː		m aː m aː			m aː m aː					
958_3_right	m a t a u		m a + t a ʔ u	m a + t a u	m a + t a u	ʔ aː + k a u	t a u			m a + t a u	m a + t a u	m a + t a u		m a u a	k a + t a u		m aː + t a u	ʔ a + t a u	k a + t a u	m a + t a ʔ u	k a + t a u		ʔ a + t a u	t a u + m a + t a u		ʔ a + t a u	m a + t a u	m a + t a ʔ u	k a + t a u	m a + t a u	
959_110_spider					t o u + t o u + a f a r e													t u ʔ u + n u i		h o n u	t u k u + t u k u					t uː + t uː r a + h o n u i			t u k u + t u k u		t u k u + t u k u
95_46_tosee		k i t e		k u t e a		ʔ i k e		ʔ i k e		k i t e			ʔ i t e	k i t e		k i t e	k i t e a	ʔ i t e		t i k e a	k i t e	k i t e		ʔ i t e	k i t e	ʔ i t e	k i t e		k i t e		k u t e + a
960_156_thin						l a h i	r a h i + r a h i			r a h i + r a h i			p i + ʔ a h i + ʔ a h i	r r a h i			l a + l a w i	ɢ a i + ɢ a i	r a h i + r a h i	r a ʔ i	r a i + r a i		r a i + r a i			r a i + r a i			r a h i		
961_183_thou	k e	k eː	k eː																								k eː				
962_137_toblow			i f i	r i + f i a	i + f i a							i f i																i f i			
964_67_tosew	t i + t i n a																						t iː ʔ a i								
965_80_tosplit							m a h aː							h h aː	h aː	m a f aː				ŋ a h a	ŋ a ʔ a a		n a ʔ a ʔ a		h aː		f aː				m a h aː
966_88_tosqueeze									k u + k u m u														ʔ u + ʔ u m u			ʔ u + ʔ u m u					
967_73_tosteal						ʔ a i h u e							k a i + h u e	h uː																	
968_87_toswell													h e t e											f e + f e t e						f e + f e t e	
969_9_toswim	k a u	k a u	k a u	k a o + k a o	k a u	ʔ a u	k a u	ʔ a u	k a u	k a u + h o e	k a u + k a u	k o u	k a u	k k a u	k a u	k a u + k a u	t aː + k e l e	ʔ a u	k a u + k a u	k a u	k a u	k a + k a u	ʔ a u	ʔ a + ʔ a u	k o u + k o u	ʔ a u	k a u	k a + k a u	k a u	k a + k a u	k a u
96_70_toshoot			f a n a		f a n a	p a n a				f a n a		f a n a		h a n a	h a n a				f a n a		t aː	h a n a		f a n a			f a n a	f a n a	h a n a	f a n a	h a n a + i a
970_170_when		aː + f e a	a + f e a		a f i a	i n aː + h e a		k e + a o + h e	a + ʔ e a	aː + h e a		f e	aː + h e a		aː + h e a		w e a	a + h e a		a ŋ a + h e	aː + ʔ e a		i n aː + ʔ e a	a n a + f e a	i t e + m o k o + a + h e a	i n aː + f e a	a + f e a	ʔ a n e + f eː		aː + f e a	a n a + h e a
971_58_wife	n o + p i n e	f i n e + m a t u ʔ a	f i n e + m a t u ʔ a	f i n a + m a t u a	f i n e	w a + h i n e			v e + ʔ i n e	w a + h i n e	t e + f i n e		v e + h i n e				w a + w i n e	v a + h i n e	v a + h i n e		v a + ʔ i n e	h iː + m a t u ʔ a	v a + ʔ i n e			v a + h i n e	n o + f i n e				n o + h i n e
987_15_bone	i v i	i v i	h u i	s u i	i u i	i w i	i w i	i v i	i v i	i w i	t e i + β i	i v i	i v i	i v i	i v i	h u i	i v i	i v iː + v i	i v i	i v i	i v i	i b i	i v i	i v i	i v i	i v i	i v i	h u i	i v i	i v i	i v i
98_71_tostabpierce		s u k i	h u k i	s u k i a	s u k i		h u g i		ʔ u k i		s u k i a	h u k i	h u k i	u n u k i		s u k i				h u k i		s u k i			s u k i		s u k i		h u k i		u k i a
99_35_tovomit			p u ʔ a + k i									p u h a + k i									p u a + k i			p u a + ʔ i							
9_198_two	r u a	l u a	l u a	r u a	r u a	l u a	l u a	l u a	r u a	r u a	r u a	u a	ʔ u a	h i a o a	r u a	r u a	l u a		l u a	r u a	r u a	ⁿg u a	r u a	e + l u a	l u a		r u a	u a	r u a	a o a	l u a
