Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
16811_429_never,,,j a + ɗ ə + n g ə n d ə,,,,,,,,,,,,,,n g a,,s ɨ + n + s a + m a,,a b a d a n,,,,,,,,,,,,w a + n g a,t a n + z i + m o,,,,,,,,,,
16813_540_shoot,d e,,,,,,,,,,,,,,,,,,ɬ a w u n,,ɬ a w u n,,,,,,,,,,,,d e,s e,,,,,,,,,,
16817_586_stone,k a w,,,,,,,k aː ʔ e,,,,,,,,,k a u,,n k u ɗ u,,g b i r,,,,k a r k a r e,,,,,,,,k a w,k u r,,,,,,,,,,
16839_508_roostercock,b ɨ s ɓ u r u,,,,,,,,,,,,,,,,g u d o w u m,,k u s k u n i,,k p a k p u r u,,,,c ɨ k r e,,,,,,,,k o k o l i o k o,k u s k u r,,,,,,,,,,c a k a r i
16868_276_grandfather,,,,,,,,,,,d e d e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16868_277_grandmother,,,,,,,d e d e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16877_296_handle,,,,,,,,,,,,,,,,,n g u m d e,,,,,,,,,,,,,,,,m b u,,,,,,,,,,,
16901_123_cloth,b a k t a,,b ə t a,,,,,,,,,,,,,,b a k t a,,,,g u m a ʃ ɨ,,,,,,,,,,,,b a k t a,g a b a g a,,,,,,,b a k t a,,,
16908_246_flute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c e c e w k,,,,,,,,,,,,
16908_320_horn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c e c e w k,,,,,,,,,,,,
16920_106_chaff,,,,,,,,,,,,,,,,,k a l i l i,,,,,,,,,,,,,,,,d i ʃ i,,,,,,,,,,,
16954_332_if,,,,m ɑ d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16954_370_like,,,,m ɑ d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16955_122_clitoris,l ɨ g ɨ,,,,,,,,,,,,,,,,k a l a n,,s ʔ u gʱ u r i,,h e l ɓ ɨ,,,,c u h r e,,,,,,,,l ɨ g ɨ,m z o gʱ o r,,,,,,,j i d i l,,,
17000_320_horn,,,,,,,e d r e m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17035_275_granary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s e b e,,,,,,,,s i w e b e,,,
17044_679_water,a m e,,a m a j,,,,,,,,,,,,,,,,a m,,a m,,,,a ʔ ɨ m,,,,,,,,a m e,a m,,,,,,,,,,a m i
17048_320_horn,k a n g a l i,,,,,,,,,,,,,,,,k a n g a d i,,,,,,,,,,,,,,,,,,,,,,,,,,,
17051_42_bebeautiful,s a m j a,,a c i,,,,,,,,,,,,,,,,s x e l e,,s ɨ g ɨ w u n,,,,,,,,,,,,s i + g o,b u,,,,,,,,,,d a v a r a
17106_156_death,m d i,,,,,,,,,,,,,,,,k ə r m u,,m ɨ t i,,m a d i,m ɨ + s ɨ + m d i,,,,,,,,,,,m a d i,m ɨ t i,,,,,,,f a n a ʔ,,,
17124_623_thing,d i,,d i,,,,,,,,,,,,,,a w o,,gʷʱ e,,d i,,,,,,,,,,,,j i,d i,,,,,,,,,,hʷ i
17162_711_yes,,,j ə j,,,,,,,,,,,,,,a a,,a h a,,a h a,,,,,,,,,,,,a,a h a,,,,,,,,,,
17163_502_riverbank,g a h ɨ l a m,,,,,,,,,,,,,,,,n g a r a i,,g e + l a gʱ a m,,g e + l a m,,,,m a + u r e,,,,,,,,g e j + l a m,p l a m,,,,,,,,,,
17175_90_bull,d u m i,,,,,,,,,,,,,,,,d a l o,,d u gʱ u m i,,d u m,d u m a n,,,d gʱ o m e,,,,,,,,d u m u,d o gʱ o m,,,,,,,,,,
17182_252_foot,,,,,,,a s e k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a s e k,,,,,,
17182_360_leg,,,,,,,a s e k,,,,a s e k,,,,,,,,,,,,,,,,,,,a s e k,,,,,,,,,,,,,,
17237_497_rib,m a ɗ o,,,,,,,,,,,,,,,,k ɑ w u,,n g ɨ ɗ ɨ,,f ɨ n e,,,,c a l i ŋ,,,,,,,,f ɨ n e,n g a d e,,,,,,,,,,
17244_615_thank,,,,,,,,,,,,,,,,,,,t a ɓ a r a w u n,,h ɨ n d ɨ + a ʃ k r a,,,,,,,,,,,,h ɨ n + s a g a l e,s a + k ɨ n s a n,,,,,,,,,,
17250_181_dust,b ɨ r b ɨ r,,b ə r b ə r,,,,,,,,,,,,,,b ə r b ə r,,b u r a,,g b a r g b a,,,,b u r a,,,,,,,,b ɨ r b ɨ r,k u d o,,,,,,,a j a j,,,
17251_133_cookingpotearthenware,s p o,,,,,,,,,,,,,,,,k o l o + t a w a b e,,s k u a,,k p a,,,,b ɨ r m a,,,,,,,,s k o,s k o,,,,,,,b u r m a,,,
17268_54_believe,,,,,,,,,,,,,,,,,,,,,h ɨ n d ɨ + f a k a t,,,,,,,,,,,,s a + g o + h e,v i + j i r e,,,,,,,,,,
17279_159_godsupremebeing,k ɨ m a n i,,k ə m a n i,,,,,a lː a h,,,,,,,,,k ə m a,,m a l u a,,m a l u a,,,,,,,,,,,,k ɨ m a n i,m a l u a,,,,,,,a lː a h,,,
17281_403_molartooth,m s l u,,,,,,,,,,,,,,,,,,v ɨ n,,m a ɬ u,,,,v u n a,,,,,,,,m a ʃ u,k u r e + s a n,,,,,,,d i r i s,,,
17318_371_limp,,,,,,,,,,,,,,,,,,,s kʷ a ɗ a,,k a l a w u n,,,,,,,,,,,,n g a ɗ ɨ + h o,s k a ɗ ɨ,,,,,,,,,,
17326_179_dryseason,g ɨ l ɨ m,,,,,,,,,,,,,,,,b e,,k u l e s ɨ,,g b ɨ l i s ɨ,,,,,,,,,,,,g u l g u s ɨ,,,,,,,,,,,
17337_61_bitev,,,c i ɗ ə,,,,,,,,,,,,,,,,ɬ e l + ɬ a n,,ɬ e d ɨ + ɬ a n,,,,,,,,,,,,,,,,,,,,,,,
17347_346_kneel,ɬ ʔ ɨ + g o,,,,,,,,,,,,,,,,,,x ɨ ɬ e l + n z ɨ z e + h e,,,,,,,,,,,,,,ʃ i + g o l e n s ɨ n s e + t ɨ n,s e + e n z i z e + t ɨ n,,,,,,,,,,
17349_227_fill,ɓ a ɬ ɨ l + d o,,,,,,,,,,,,,,,,,,u ɬ a w u n,,g ɓ a ɬ ɨ,,,,,,,,,,,,k ʔ w a ʃ i l + d o,w u ʃ i + l i,,,,,,,,,,
17382_214_farmer,m e + s ɨ + g e r e,,b a r e m a,,,,,,,,,,,,,,b a r e m a,,b ɨ l a + e + g u r a,,m e + g e r e,,,,a b a + g u rʱ o,,,,,,,,m s i + g e r e,b ɨ r + g r o w u n,,,,,,,,,,
17389_318_honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ m u,,,,,,,,
17389_46_bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ m u,,,,,,,,
17394_15_animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b ə r b o r,,,,,,,,,,,,,,,
17394_372_lion,,,,,,,m a b o r,,,,,m o b o r,,,,,,,,,,,,,,,,m a b o r,,,m a b a r,,,,,,,,,,,,,
17398_590_strength,h a n + ts ɨ l e,,d o n o,,,,,,,,,,,,,,d u n o,,t ɨ p k o,,d o n o,,,,,,,,,,,,s ʔ a l e,d o n o,,,,,,,,,,
17408_67_blink,,,,,,,,,,,,,,,,,,,f e l + a l,,l e d ɨ + k ʔ ɨ l b ɨ,,,,,,,,,,,,l a + n k ʔ ɨ l ɨ b u,f a + k ɨ + s e,,,,,,,,,,
1740_32_back,ɓ ɨ l ɨ m,,k a j,,,,,,,,,,,,,,n g a w o,,j a h ɨ,,ɓ ɨ l ɨ m,,,,a r a h a,,,,,,,,ɓ ɨ l ɨ m,m ɓ ɨ l ɨ m,,,,,,,d a h a r,,,a l i j a
17450_693_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ɑ p ə l ɑ m,,,,,,,,
17459_426_neck,,,,,,,,,,w ə l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17459_670_voice,,,,,,,,,,w ə l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17512_460_person,a l g ɨ,,l u g u,,,,,,,,,,,,,,a l a g ə,,,,b ɨ l o,,,,,,,,,,,,a l g ɨ,,,,,,,,x a l i g a,,,
17523_326_hunger,,,,,,,,,,,,,,,,,,,gʱ u z u m,,,,,,,,,,,,,,s k ɨ m,,,,,,,,,,,
17549_598_swallow,s k ʔ e,,,,,,,,,,,,,,,,,,t l ʔ ɨ gʱ a w u n,,s k ʔ e w u n,,,,,,,,,,,,k ʔ e,s k ʔ e,,,,,,,,,,
17559_594_suffer,,,,,,,,,,,,,,,,,b a s a r i,,,,,,,,,,,,,,,,h ɨ n + b a s a r i,,,,,,,,,,,
17587_581_stand,m e + l a g o,,,,,,,,,,,,,,,,l a g a,,h u n + g a,,g i j a w u n,,,,,,,,,,,,m e + h e + l a g a,j o,,,,,,,,,,
1759_127_cockroach,,,,,,,,,,,,,,,,,n a n a + s a l g a m a,,n a n a + s a l k a,,n a n a + s a l k a,,,,,,,,,,,,n a n a + s ɨ r k a,n a n a + s a l k a,,,,,,,,,,
17646_328_husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u ɓ a r + gʱ a j,,,,,,
17646_5_adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u ɓ a r + gʱ a j,,,,,,
17656_120_claw,,,,,,,,,,,,,,,,,,,n k ʔ ɨ n i,,n k ʔ ɨ n,n g a r e,,,,,,,,,,,n k ʔ a n,n k ʔ ɨ r,,,,,,,,,,
17663_607_take,,,j u g u,,,,,,,,,,,,,,,,z ɨ g i w u n,,s i w u n,,,,,,,,,,,,s i,z i,,,,,,,,,,
17672_629_three,,,,,,,,,,,,,,,,,j a kː ə,,,,,,,,,,,,,,,,a n k u r o,,,,,,,,t a l a t a,,,
17727_705_woundsore,d i n g o,,t u n u,,,,,,,,,,,,,,t u n u,,z uː,,k u n g u,,,,,,,,,,,,d i d i o,z u,,,,,,,,,,
17733_424_navel,,,,,,,m e l e v,,,,,,,,,,,,,,,,,,,,,,,m e l e v,,,,,,,,,,,,,,
17794_224_fifteen15,k a n + g o + ɬ ʔ e n ts i,,,,,,,,,,,,,,,,w u r i,,x k a n + k a + ʃ e ʃ i,,k a n + g a + ɬ e n s i,,,,,,,,,,,,k a n + g o + ʃ e n s i,k a n + d ɨ n + ʃ e ʃ i,,,,,,,x a m i s t a c a r,,,
17804_251_food,,,,,,,,,,,,,,,,,a t a m,,,,,,,,,,,,,,,,a t a m,,,,,,,,,,,
17828_714_youngman,,,,,,,,,,,m a m b o l o z o,,,,,,,,,,,,,,,,,,,m a m b o l o z o,,,,,,,,,,,,,,
17830_79_brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɗ e ŋ g e ɬ,,,,,,,,,,,,,,
17832_373_lip,m s ʔ ɨ n u,,,,,,,t o nː d u,,,,,,,,,,,n k ɨ n h i + e + k a l g e,,m s ʔ ɨ l u,,,,m a + m e,,,,,,,,m s ʔ u n u,k ɨ r ɓ a + g e,,,,,,,c a lː u f a,,,
17866_591_stretch,,,,,,,,,,,,,,,,,,,z u n + a l a,,,,,,,,,,,,,,s k u,ʃ i,,,,,,,,,,
17867_666_valley,,,,,,,,,,,,,,,,,z ə r g ə,,x ɨ s a,,,,,,t ɨ ɓ a z i a,,,,,,,,n g ɨ b ɨ n,h a s a n,,,,,,,,,,
17875_284_greet,,,,ɮ ɑ p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17875_517_say,,,,ɮ ɑ p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17886_568_song,,,,,,,d ə m e s,,,,d ə m e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17902_658_two,,,,,,,,,,,,,,,,,,,,,,,,m ə tʰ l u,,,,,,,,,,,,,,,,,,,,
17905_219_feather,,,,,,,a ŋ gʷ e c,,,,a ŋ gʷ e c,,,,,,,,,,,,,,,,,,,,,,,,,,,a ŋ gʷ e c,,,,,,
17906_683_welln,b ɨ l e,,b ə l a k ə a j i,,,,,,,,,,,,,,b a r a m,,f ɨ l i,,b l e,,,,,,,,,,,,b ɨ l e,f l e j,,,,,,,b i r,,,
17909_60_bird,ts a ɓ o,,,,,,,,,,,,,,,,,,,,k a m b o,s a p o,,,,,,,,,,,,z a k o,,,,,,,,,,
17923_528_seven,,,,,,,,,,,c e s e r e ɗ,,,,,,,,,,,,,,,,,,,,m aː s a l a,s ə s ə r e,,,,c e s e r e ɗ,,s ə s ə l a,,,,,,
17946_286_grindingstone,,,,,,,,,,,b e r,,,,,,,,,,,,,,,,,,,b e r,,,,,,,,,,,,,,
17962_485_quickly,,,k u lː ə j,,,,,,,,,,,,,,s a m s a m,,,,,,,,,,,,,,,,t a m,,,,,,,,,,,j a w j a w i
17968_612_tendon,,,,,,,,,,,,,,,,,n g o r t o n g,,m ɓ ɨ l,,,,,,g a r a ɗ ɨ,,,,,,,,k o r t o n,m ɓ ɨ l,,,,,,,,,,
17992_397_medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h ɑ f,,,,,,,,
17992_650_tree,,,,,,ʔ u f a,hʷ a f,,,,,,,,,fʷ o,,,,,,,w u,,,,,,,,,,,,,h ɑ f,,,w u f ə,,,fʷ o j,,m a f u
17993_320_horn,,,,,,,,,,,m b u k o m,,,,,,,,,,,,,,,,,,,,,,,,,,,m b u k o m,,,,,,
17999_209_fade,,,,,,,,,,,,,,,,,,,s k i w u n,,,,,,,,,,,,,,s o + h o,t e l + m o,,,,,,,,,,
18000_634_time,,,s a h a,,,,,,,,,,,,,,a u w a,,,,,,,,,,,,,,,,s a k a,,,,,,,,s a ʔ a,,,s a ʔ a
18008_77_boy,w u l o + s a w e,,w u ə l i,,,,,,,,,,,,,,,,gʱ u l i + e + m e n i,,w u l e + j a w e,u l u + s a w e,,,gʱ u j e + gʱ a z e,,,,,,,,l o + s ɨ + m e j w e,u l o,,,,,,,,,,
18015_447_one,ɨ n t e,,k ə t e,,,,,,,,,,,,,,l a s k a,,s ɨ x ɨ d i a,,i n t e,,,,,,,,,,,,ɨ n t e,s ʔ ɨ g ɨ d i,,,,,,,,,,t j a
18052_316_hold,,,,,,,,,,,,,,,,,k o g ə,,k u n + a l e,,w a + g ɨ,,,,z gʱ ɨ,,,,,,,,k ʔ o + g ɨ,k a + k a,,,,,,,,,,p r a
18087_111_chest,,,,,,,,,,,,,,,,,n g a n j i,,,,,,,,,,,,,,,,n g a n j i,,,,,,,,,,,
1811_613_termite,k a n a m,,,,,,,,,,,,,,,,k a n a m,,ɗ a l i,,d iː,,,,,,,,,,,,k a n a m,t i,,,,,,,a r d a,,,
18128_580_stab,d a,,,,,,,,,,,,,,,,,,ɬ e l + s a g i,,ɬ e d ɨ + m i j o,,,,,,,,,,,,d e + m i o,s a + m o gʱ o j o,,,,,,,,,,
18142_169_dog,,,,,,,k ə r ɑ,,,,k ə r ɑ,,,,,,,,,,,,,,,,,,,k ə r ɑ,,,,,,k ə r ɑ,,,,,,,,
18193_29_axe,m s l ɨ r,,,,,,,,,,,,,,,,b e g u,,m ɨ ɬ ɨ n i,,m ɨ ɬ a r,,,,,,,,,,,,m ʃ a r,m s a r,,,,,,,,,,n s a n
18194_414_mountain,,,,b ɑ r l ɑ,,,,,,b ə r l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18219_345_knee,g o l e n ts i,,,,,,,,,,,,,,,,n g u r u m n g u r u m,,n z i,,e n s ɨ,,,,m a + m ɨ k l e,,,,,,,,g o l e n s ɨ,e n z i,,,,,,,r u k u b a,,,t a gʷ i
18223_523_snatch,,,i,,,,,,,,,,,,,,,,s ɨ x a w u n,,w e + g ɨ,,,,,,,,,,,,i,i + j o,,,,,,,,,,
18265_8_again,,,ɗ ə j,,,,,,,,,,,,,,,,s ʔ ɨ l a,,a n j a,,,,,,,,,,,,k ʔ o,k a o,,,,,,,,,,
18267_352_language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e j,,,,,,,,,,,,
18267_416_mouth,,,,,,,m e j,,,,,,,,,,,,,,,,,,,,,,,,m e j,m e j,,,,,,m e j,,,,,,
18267_702_word,,,,,,,m e j,,,,,,,,,,,,,,,,,,,,,,,,m e j,m e j,,,,,,,,,,,,
182_479_proverb,,,,,,,,,,,,,,,,,k a r a w u,,s k u a n h e,,s a + d ɨ + a m s ɨ,,,,,,,,,,,,s o + ɨ l + a m s ɨ,s kʷ a r i,,,,,,,,,,
18333_393_mat,b i ts i,,b o c i,,,,,,,,,,,,,,b ə j i,,r a g a,,b u s i,,,,,,,,,,,,b i s i,d r e,,,,,,,b i r i c,,,
18348_194_elbow,m ts o,,,,,,,,,,,,,,,,,,n t i ɗ o,,,,,,,,,,,,,,,a n z o,,,,,,,,,,
18375_573_sow,,,,,,,,,,,,,,,,,,,s ʔ e s ʔ e + l + g ɨ n a m,,d ɨ s ʔ e + d ɨ + g r ɨ m,,,,b ɨ r j ɨ m + v ɨ l ɗ a,,,,,,,,d ɨ s ʔ e + ɨ l + g ɨ r ɨ m,t i s ʔ e + r + g ɨ r ɨ m,,,,,,,,,,
18377_683_welln,,,,,,,b ə ɗ i j e m,,,,b ə ɗ i j e m,,,,,,,,,,,,,,,,,,,b ə ɗ i j e m,,,,,,,,,,,,,,
18378_439_nothing,,,n g ə ɗ a,,,,,,,,,,,,,,f a l m a r o,,gʷʱ e + a + ʃ i + m a,,n i + s a + ɗ o,,,,,,,,,,,,p a l + m a,d i + s o + m a,,,,,,,,,,w o c i b o + m a
18382_415_mouse,,,,,,,,,,,,,,k u u s u,,,,,x s u m i,,g b i m,ɓ ɨ s ɨ m,,,k u s ɨ m e,,,,,,,,k u s u m u,k u s u m,,,,,,,a m s i s i,,,a k s u m
1838_330_hyena,,,b ə a l t u,,,,,,,,,,,,,,b u l t u,,,,,,,,,,,,,,,,,,,,,,,,,,,
18401_34_baobabtree,,,,,,,ɓ a kʷ a,,,,,,,,,,,,,,,,,,,,,,,ɓ a kʷ a,,,,,,,,,,,,,,
18402_702_word,,,m ə nː a,,,,,k a l i m a w o l,,,,,,,,,k a l i m a,,l a f a s ɨ,,a m s ɨ,,,,,,,,,,,,k a l i m a,a m ʃ i,,,,,,,k a l i m a,,,
18407_595_sugarcane,r e k e,,,,,,,,,,,,,,,,,,g ɨ m,,a g ɨ m,,,,,,,,,,,,a n g ɨ m,a g ɨ m,,,,,,,,,,
18413_564_soak,,,,,,,,,,,,,,,,,,,,,ɬ e g b l a,,,,,,,,,,,,d a + g o + h e,ɗ a g e,,,,,,,b a lː a,,,d i j a + f i
18440_560_smile,,,,,,,,,,,,,,,,,m ə m ə s ə n g i n,,ɨ l e l + t l ʔ i h i,,l e d ɨ + n c ʔ a i + g a,,,,,,,,,,,,l e + c ʔ e i + g a,l e + s ʔ e i + g e,,,,,,,,,,
18462_195_elephant,,,,,,,,,tʃ u w e n a,,,,,,,tʃ i w e,,,,,,,c u w a r,c i w a r,,,,,,,,,,,,,ʒ u w a n,,,,,j u w a n,,
18468_105_centipede,,,,,,,,,,,,,,,,,s a u r a k ə l a n j i,,gʱ ɨ l a n d ɨ r m a,,g u l u l u,,,,,,,,,,,,a ʃ a n a ʃ i m u,m a s a n + sʷ a l e,,,,,,,,,,
18510_185_earring,,,,,,,,,,,,,,a b u k u n e,,,,,,,,,,,,,,,,,,,a b u n k u n e,,,,,,,,x u r u s,,,
18515_306_beheavy,k ɨ r k o k ɨ,,,,,,,,,,,,,,,,k u r w o w u,,gʱ ɨ l a,,t ɨ ɗ i s ɨ n,,,,,,,,,,,,k ɨ r k o k ɨ,ɗ e s ɨ,,,,,,,,,,d i n s u
18528_406_monkey,,,,,,,b ə r e,,,,b ə r e,,,,,,,,,,,,,,,,,,,b ə r e,,,,,,,,,,,,,,
18535_132_cook,,,,d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18535_474_preparefoodtocook,,,,d ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18538_332_if,,,,,,,,,,,,,,,,,c a,,k i,,s ɨ r g i,,,,,,,,,,,,a s a,a s ɨ,,,,,,,,,,
18551_80_bread,,,,,,,,,,,,,,b u r oː d i,,,,,d i p a,,d i p a,,,,,,,,,,,,d i p a,d i p a,,,,,,,d i pː a,,,
18552_191_eight,,,,,,,,,,,ts a m a h k a n,,,,,,,,,,,,,,,,,,j ə m aː k a n,,,,,,,,,,,,,,,
18557_170_donkey,ɓ o r o,m b ɨ r s e,,b e r j e ŋ,,,,,,,,,,,,,,,m b u r i,,,,,,m b u r i,,,,,,,,,m b o r i,,,,,,,,,,
18573_332_if,,,,k e ɗ e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18573_459_perhaps,,,,k e ɗ e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18586_220_goat,m ɓ o l g o j e,,,,,,,,,,,,,,,,k a n j i,,,,,m b o l g o j e,,,d i s a,,,,,,,,h ɨ n gʷ o,,,,,,,,,,,
18611_6_after,,,k ə a d u g u,,,,,,,,,,,,,,,,t ɨ kʷ a s e,,s ɨ + ɓ ɨ l ɨ m,,,,,,,,,,,,ʃ i m e,z u gʷ a m,,,,,,,,,,s a ʔ a + c ə
18630_332_if,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m b u,,,,,,,
18630_335_inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m b u,,,,,,,
18635_480_pull,ts ɨ + r i,,,,,,,,,,,,,,,,,,h ɨ r ɗ ɨ w u n,,s i + l ɨ,,,,,,,,,,,,s i,ʃ i,,,,,,,,,,
18643_303_head,g o,,k u ə,,,,,,,,,,,,,,,,k aː,,,,,,,,,,,,,,g o,k o,,,,,,,,,,
1864_120_claw,,,,,,,,,,g u ʒ ɑ ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864_230_fingernail,,,,,,,,,,g u ʒ ɑ ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18651_23_arrange,,,,l ɑ m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18651_89_build,,,,l ɑ m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869_344_kitchen,f ɨ n + s ɨ + s k o,,k o l o r o m,,,,,,,,,,,,,,,,k a l + h i n g i,,g a r u + e + k p a,,,,gʱ i a + u d o,,,,,,,,n g o + ɨ l + s k o,g a r u + a + s k o,,,,,,,,,,g ə m a l a l a
186_414_mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m a h ə m b a,,,,,,,,,,,,,,
18709_253_forbid,,,,,,,,,,,,,,,,,,,w u g u n + a l e,,w a + j a + g ɨ,,,,,,,,,,,,h a + g o + j o,w a + k a,,,,,,,,,,
18726_81_breast,,,,,,,,,,,,,,,,,,,,,h e n g ɓ e,,,,,,,,,,,,h e n k ʔ w e,h e n k ʔ w i,,,,,,,,,,
18728_716_youngerbrother,k a t ɨ n a,,c i r i,,,,,,,,,,,,,,k ə r a m i,,l a k u ɗ e,,m e + ɓ ɨ l ɨ m,,,,l a k u ɗ e,,,,,,,,k a t a n a,m b e zʷ e,,,,,,,,,,
1872_352_language,ɬ ʔ e + l + w o,,,,,,,,,,,,,,,,,,ɬ e + l + gʱ u,,ɬ e + d ɨ + h o,,,,,,,,,,,,w o,s e j + t ɨ + w o,,,,,,,,,,
18791_244_flow,,,,,,,,,,,,,,,,,,,s ɨ w u n + h e,,f e + e,,,,,,,,,,,,f o + h e,k u l a m + e,,,,,,,,,,b ə l a
18821_326_hunger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ r ə h,,,,,,,,
18822_610_teach,h a n,,,,,,,,,,,,,,,,,,s ɨ p u w u n,,h ɨ n d ɨ + w a,,,,,,,,,,,,i + j o + g o,gʱ ɨ n + w e,,,,,,,,,,
18824_583_steal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g i j a + a k a r,
18832_134_corpse,,,,,,,,,,m c i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18832_156_death,,,,,,,,,,m c i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18848_168_driveaway,d o u n,,,,,,,,,,,,,,,,d u n g i n,,g a l a w u n,,d a w u n,,,,,,,,,,,,d o,t o,,,,,,,,,,
18868_483_python,,,,,,,,,,,,,,,,,k u l u j i,,,,m ɨ ɗ ɨ,,,,,,,,,,,,,,,,,,,,,,,
18877_473_pray,,,,,,,,,,,,,,,,,s a l a,,s a l a,,h ɨ n d ɨ + a d u a,,,,,,,,,,,,h ɨ n + s a l a,s a l a,,,,,,,s a l a,,,c a l a
18885_496_rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m b e s e n,,,,,,,,,,,,
18885_83_breathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m b e s e n,,,,,,,,,,,,
18889_620_thief,h i ʔ i,,,,,,,,,,,,,,,,,,m u s x u i,,h i r u,,,,j a l e,,,,,,,,h a ɗ i,n gʱ e j,,,,,,,,,,a h ə l
18898_242_flesh,,,,,,,,,,ɮ i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18898_396_meat,,,,,,,,,,ɮ i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18913_111_chest,,,,,,,,,,,,,,,,,,,m a v a r,,f ɨ n e,,,,,,,,,,,,f ɨ n e,v ɨ l e,,,,,,,,,,
18934_172_dove,a n g ɨ r g ɨ ɬ ʔ ɨ,,,,,,,,,,,,,,,,n g i g ə + m a l ə m,,,,,,,,,,,,,,,,,k u g u,,,,,,,,,,
18961_407_month,,,,,,,,,,ŋ t r ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18961_408_moon,,,,,,,,,,ŋ t r ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18966_355_law,,,,,,,,,,,,,,,,,ʃ a r a,,ʃ a r i a,,ʃ a r i a,,,,,,,,,,,,g a n u n,ʃ a r i a,,,,,,,x a n u n,,,j ə r e
18977_200_escape,,,,,,,,,,,,,,,,,,,,,l a w u n,,,,,,,,,,,,j i + s ʔ e + g o + h e,i + k ɨ n + o,,,,,,,,,,
18996_33_bag,m b ɨ l u,,,,,,,,,,,,,,,,,,m b a t k a r e,,m b ɨ lʷ a,,,,b a t k a r e,,,,,,,,m a t a l u,g a m a r g o,,,,,,,,,,m b a t k a r i
19002_276_grandfather,a b a + k a k a,,,,,,,,,,,,,,,,,,a b a k a k a,,,a b a k a k a,,,a b ʔ a k a,,,,,,,,a b a k a,,,,,,,,,,,
